date,code,shares,nav,close_price,shares_prev,share_change,valuation_price,valuation_source,net_inflow_100mn,name,venue
2025-01-02,159919,,4.0058,3.865,,,4.0058,NAV,,沪深300ETF嘉实,SZSE
2025-01-03,159919,,3.9585,3.824,,,3.9585,NAV,,沪深300ETF嘉实,SZSE
2025-01-06,159919,,3.9518,3.811,,,3.9518,NAV,,沪深300ETF嘉实,SZSE
2025-01-07,159919,,3.9812,3.844,,,3.9812,NAV,,沪深300ETF嘉实,SZSE
2025-01-08,159919,,3.9752,3.832,,,3.9752,NAV,,沪深300ETF嘉实,SZSE
2025-01-09,159919,,3.9653,3.829,,,3.9653,NAV,,沪深300ETF嘉实,SZSE
2025-01-10,159919,,3.9169,3.781,,,3.9169,NAV,,沪深300ETF嘉实,SZSE
2025-01-13,159919,,3.9062,3.766,,,3.9062,NAV,,沪深300ETF嘉实,SZSE
2025-01-14,159919,,4.0091,3.867,,,4.0091,NAV,,沪深300ETF嘉实,SZSE
2025-01-15,159919,,3.9833,3.842,,,3.9833,NAV,,沪深300ETF嘉实,SZSE
2025-01-16,159919,,3.9878,3.845,,,3.9878,NAV,,沪深300ETF嘉实,SZSE
2025-01-17,159919,,4.0005,3.861,,,4.0005,NAV,,沪深300ETF嘉实,SZSE
2025-01-20,159919,,4.019,3.876,,,4.019,NAV,,沪深300ETF嘉实,SZSE
2025-01-21,159919,,4.022,3.881,,,4.022,NAV,,沪深300ETF嘉实,SZSE
2025-01-22,159919,,3.9853,3.844,,,3.9853,NAV,,沪深300ETF嘉实,SZSE
2025-01-23,159919,,3.9939,3.852,,,3.9939,NAV,,沪深300ETF嘉实,SZSE
2025-01-24,159919,,4.027,3.888,,,4.027,NAV,,沪深300ETF嘉实,SZSE
2025-01-27,159919,,4.0106,3.867,,,4.0106,NAV,,沪深300ETF嘉实,SZSE
2025-02-05,159919,,3.9872,3.842,,,3.9872,NAV,,沪深300ETF嘉实,SZSE
2025-02-06,159919,,4.0373,3.894,,,4.0373,NAV,,沪深300ETF嘉实,SZSE
2025-02-07,159919,,4.0895,3.949,,,4.0895,NAV,,沪深300ETF嘉实,SZSE
2025-02-10,159919,,4.0984,3.956,,,4.0984,NAV,,沪深300ETF嘉实,SZSE
2025-02-11,159919,,4.0795,3.937,,,4.0795,NAV,,沪深300ETF嘉实,SZSE
2025-02-12,159919,,4.1178,3.975,,,4.1178,NAV,,沪深300ETF嘉实,SZSE
2025-02-13,159919,,4.1027,3.964,,,4.1027,NAV,,沪深300ETF嘉实,SZSE
2025-02-14,159919,,4.1381,3.996,,,4.1381,NAV,,沪深300ETF嘉实,SZSE
2025-02-17,159919,,4.1466,4.003,,,4.1466,NAV,,沪深300ETF嘉实,SZSE
2025-02-18,159919,,4.1105,3.971,,,4.1105,NAV,,沪深300ETF嘉实,SZSE
2025-02-19,159919,,4.1391,3.997,,,4.1391,NAV,,沪深300ETF嘉实,SZSE
2025-02-20,159919,,4.1273,3.983,,,4.1273,NAV,,沪深300ETF嘉实,SZSE
2025-02-21,159919,,4.1793,4.039,,,4.1793,NAV,,沪深300ETF嘉实,SZSE
2025-02-24,159919,,4.1699,4.024,,,4.1699,NAV,,沪深300ETF嘉实,SZSE
2025-02-25,159919,,4.1238,3.982,,,4.1238,NAV,,沪深300ETF嘉实,SZSE
2025-02-26,159919,,4.1596,4.015,,,4.1596,NAV,,沪深300ETF嘉实,SZSE
2025-02-27,159919,,4.1682,4.026,,,4.1682,NAV,,沪深300ETF嘉实,SZSE
2025-02-28,159919,,4.0864,3.947,,,4.0864,NAV,,沪深300ETF嘉实,SZSE
2025-03-03,159919,,4.0858,3.944,,,4.0858,NAV,,沪深300ETF嘉实,SZSE
2025-03-04,159919,,4.0824,3.942,,,4.0824,NAV,,沪深300ETF嘉实,SZSE
2025-03-05,159919,,4.1005,3.957,,,4.1005,NAV,,沪深300ETF嘉实,SZSE
2025-03-06,159919,,4.157,4.016,,,4.157,NAV,,沪深300ETF嘉实,SZSE
2025-03-07,159919,,4.144,4.001,,,4.144,NAV,,沪深300ETF嘉实,SZSE
2025-03-10,159919,,4.1278,3.985,,,4.1278,NAV,,沪深300ETF嘉实,SZSE
2025-03-11,159919,,4.1408,3.995,,,4.1408,NAV,,沪深300ETF嘉实,SZSE
2025-03-12,159919,,4.1263,3.986,,,4.1263,NAV,,沪深300ETF嘉实,SZSE
2025-03-13,159919,,4.1096,3.967,,,4.1096,NAV,,沪深300ETF嘉实,SZSE
2025-03-14,159919,,4.2095,4.07,,,4.2095,NAV,,沪深300ETF嘉实,SZSE
2025-03-17,159919,,4.1992,4.056,,,4.1992,NAV,,沪深300ETF嘉实,SZSE
2025-03-18,159919,,4.2106,4.068,,,4.2106,NAV,,沪深300ETF嘉实,SZSE
2025-03-19,159919,,4.2132,4.073,,,4.2132,NAV,,沪深300ETF嘉实,SZSE
2025-03-20,159919,,4.1763,4.037,,,4.1763,NAV,,沪深300ETF嘉实,SZSE
2025-03-21,159919,,4.1128,3.971,,,4.1128,NAV,,沪深300ETF嘉实,SZSE
2025-03-24,159919,,4.1337,3.989,,,4.1337,NAV,,沪深300ETF嘉实,SZSE
2025-03-25,159919,,4.1312,3.992,,,4.1312,NAV,,沪深300ETF嘉实,SZSE
2025-03-26,159919,,4.1177,3.977,,,4.1177,NAV,,沪深300ETF嘉实,SZSE
2025-03-27,159919,,4.1314,3.988,,,4.1314,NAV,,沪深300ETF嘉实,SZSE
