date,ah_premium,h50069_close
2024-01-02,147.56,2402.8448
2024-01-03,147.94,2388.8926
2024-01-04,147.32,2384.166
2024-01-05,147.21,2367.5073
2024-01-08,148.53,2324.9249
2024-01-09,149.12,2323.8634
2024-01-10,148.63,2312.8068
2024-01-11,147.57,2336.3895
2024-01-12,147.39,2329.1427
2024-01-15,147.71,2328.8578
2024-01-16,150.32,2282.5983
2024-01-17,153.51,2196.5936
2024-01-18,153.59,2210.7896
2024-01-19,153.84,2192.3591
2024-01-22,155.58,2132.3244
2024-01-23,153.3,2184.789
2024-01-24,151.2,2255.0329
2024-01-25,150.7,2300.1295
2024-01-26,153.61,2263.1366
2024-01-29,152.85,2274.6569
2024-01-30,154.89,2220.5467
2024-01-31,155.48,2191.3666
2024-02-01,154.47,2199.9996
2024-02-02,155.35,2197.7622
2024-02-05,156.84,2190.1164
2024-02-06,154.13,2269.7093
2024-02-07,154.7,2270.1074
2024-02-08,155.71,2257.5049
2024-02-09,157.89,
2024-02-14,157.43,
2024-02-15,157.12,
2024-02-16,153.46,
2024-02-19,156.09,2288.9997
2024-02-20,155.13,2304.9377
2024-02-21,153.7,2339.5952
2024-02-22,151.95,2372.3448
2024-02-23,151.8,2371.7652
2024-02-26,150.63,2358.8061
2024-02-27,150.4,2376.3031
2024-02-28,151.89,2338.8463
2024-02-29,153.79,2345.1341
2024-03-01,153.17,2353.5071
2024-03-04,152.07,2356.5292
2024-03-05,155.74,2301.8786
2024-03-06,152.73,2335.027
2024-03-07,153.48,2309.5524
2024-03-08,152.38,2329.6079
2024-03-11,151.67,2359.5881
2024-03-12,147.43,2424.0168
2024-03-13,146.84,2424.6007
2024-03-14,147.36,2410.6674
2024-03-15,149.13,2382.4687
2024-03-18,149.53,2393.6102
2024-03-19,150.1,2359.8611
2024-03-20,150.92,2366.8101
2024-03-21,148.58,2402.2918
2024-03-22,149.83,2353.9271
2024-03-25,150.88,2350.5446
2024-03-26,150.85,2368.0951
2024-03-27,151.75,2346.0569
2024-03-28,150.58,2361.1715
2024-03-29,,2361.1715
2024-04-01,,2361.1715
2024-04-02,150.59,2410.0173
2024-04-03,150.77,2388.0243
2024-04-05,153.02,
2024-04-08,151.2,2385.0135
2024-04-09,149.56,2402.017
2024-04-10,147.65,2435.3632
2024-04-11,147.54,2429.7017
2024-04-12,149.19,2385.369
2024-04-15,151.81,2369.6776
2024-04-16,153.09,2322.3181
2024-04-17,154.23,2327.3585
2024-04-18,152.52,2347.5295
2024-04-19,152.74,2327.4074
2024-04-22,151.51,2364.8504
2024-04-23,150.19,2403.8612
2024-04-24,148.64,2454.5327
2024-04-25,147.61,2462.9965
2024-04-26,146.89,2512.9739
2024-04-29,145.19,2530.2894
2024-04-30,145.33,2530.4995
2024-05-02,143.72,
2024-05-03,142.32,
2024-05-06,142.91,2636.5582
2024-05-07,142.62,2628.5857
2024-05-08,143.35,2603.7708
2024-05-09,141.71,2642.9008
2024-05-10,137.29,2701.0916
2024-05-13,136.39,2721.3271
2024-05-14,137.29,2715.9937
2024-05-15,,2715.9937
2024-05-16,133.5,2767.9036
2024-05-17,133.31,2778.7179
2024-05-20,133.32,2792.2722
2024-05-21,135.07,2730.2698
2024-05-22,134.98,2737.5306
2024-05-23,135.91,2700.5245
2024-05-24,135.92,2660.6719
2024-05-27,135.77,2693.5439
2024-05-28,135.36,2692.8704
2024-05-29,137.3,2648.9676
2024-05-30,139.02,2614.7824
2024-05-31,140.32,2594.4129
2024-06-03,138.72,2635.627
2024-06-04,138.78,2646.347
2024-06-05,138.71,2636.7962
2024-06-06,138.59,2642.599
2024-06-07,138.79,2629.8192
2024-06-11,139.88,2594.8081
2024-06-12,141.12,2569.9687
2024-06-13,140.7,2596.9226
2024-06-14,141.47,2584.3254
2024-06-17,141.04,2579.034
2024-06-18,140.81,2578.7548
2024-06-19,137.59,2642.8568
2024-06-20,137.37,2626.5503
2024-06-21,139.09,2587.9974
2024-06-24,138.62,2583.457
2024-06-25,137.99,2590.402
2024-06-26,138.45,2589.6852
2024-06-27,141.08,2538.0102
2024-06-28,141.33,2540.7771
2024-07-01,,2540.7771
2024-07-02,142.16,2542.6702
2024-07-03,141.84,2569.3288
2024-07-04,141.49,2573.4801
2024-07-05,142.14,2544.7446
2024-07-08,144.67,2506.8846
2024-07-09,146.0,2511.6572
2024-07-10,146.38,2496.156
2024-07-11,144.38,2543.22
2024-07-12,142.44,2597.9706
2024-07-15,144.82,2561.8456
2024-07-16,146.28,2524.1744
2024-07-17,147.4,2516.9501
2024-07-18,147.47,2525.7419
2024-07-19,149.94,2477.3854
2024-07-22,147.65,2508.4346
2024-07-23,147.27,2480.5104
2024-07-24,147.12,2456.6759
2024-07-25,149.85,2409.2454
2024-07-26,147.84,2417.7087
2024-07-29,147.8,2436.352
2024-07-30,149.0,2403.4662
2024-07-31,148.01,2460.0281
2024-08-01,147.93,2454.2893
2024-08-02,148.62,2407.7574
2024-08-05,151.3,2367.3879
2024-08-06,151.18,2367.1812
2024-08-07,148.39,2399.8115
2024-08-08,148.68,2401.4155
2024-08-09,147.65,2424.4098
2024-08-12,146.86,2429.5219
2024-08-13,147.27,2439.2082
2024-08-14,147.8,2426.9433
2024-08-15,147.81,2429.5852
2024-08-16,147.06,2462.8239
2024-08-19,148.3,2477.7091
2024-08-20,148.38,2468.3267
2024-08-21,149.0,2457.1524
2024-08-22,148.4,2483.6073
2024-08-23,148.88,2477.1387
2024-08-26,148.04,2504.3058
2024-08-27,147.13,2520.0779
2024-08-28,147.54,2491.2999
2024-08-29,146.97,2501.4801
2024-08-30,146.86,2524.5146
2024-09-02,147.18,2491.6877
2024-09-03,147.46,2484.4581
2024-09-04,148.18,2455.192
2024-09-05,149.13,2457.5048
2024-09-06,,2456.3191
2024-09-09,149.78,2422.5034
2024-09-10,151.55,2414.5135
2024-09-11,151.61,2398.6662
2024-09-12,150.51,2410.6709
2024-09-13,149.14,2430.4268
2024-09-16,148.72,
2024-09-17,146.66,
2024-09-18,,2468.0898
2024-09-19,147.48,2517.0887
2024-09-20,146.78,2546.9553
2024-09-23,146.69,2542.4767
2024-09-24,145.4,2644.5642
2024-09-25,145.31,2659.6324
2024-09-26,144.7,2779.5127
2024-09-27,143.15,2877.0726
2024-09-30,148.36,2967.0977
2024-10-02,136.57,
2024-10-03,138.28,
2024-10-04,133.63,
2024-10-07,128.49,
2024-10-08,150.94,2939.7956
2024-10-09,146.48,2888.3835
2024-10-10,144.66,2965.458
2024-10-11,,2965.458
2024-10-14,145.24,2939.1416
2024-10-15,145.36,2832.1855
2024-10-16,145.05,2833.2783
2024-10-17,146.18,2800.0515
2024-10-18,143.47,2903.0284
2024-10-21,144.59,2859.4357
2024-10-22,145.02,2866.1566
2024-10-23,144.27,2900.3293
2024-10-24,144.74,2860.1442
2024-10-25,143.89,2873.5392
2024-10-28,143.72,2876.1929
2024-10-29,143.4,2882.4272
2024-10-30,144.59,2839.947
2024-10-31,144.37,2826.2916
2024-11-01,144.22,2854.5
2024-11-04,145.25,2868.4367
2024-11-05,143.78,2933.5978
2024-11-06,144.52,2876.3109
2024-11-07,144.22,2934.447
2024-11-08,144.68,2903.8992
2024-11-11,145.93,2865.5418
2024-11-12,147.07,2788.2311
2024-11-13,147.73,2784.7824
2024-11-14,149.35,2733.964
2024-11-15,148.66,2730.5946
2024-11-18,147.06,2746.5815
2024-11-19,146.45,2759.8433
2024-11-20,146.37,2773.0542
2024-11-21,147.45,2754.648
2024-11-22,146.87,2696.9505
2024-11-25,147.18,2690.6363
2024-11-26,148.09,2689.0048
2024-11-27,147.42,2747.1411
2024-11-28,148.53,2715.586
2024-11-29,148.57,2726.517
2024-12-02,147.13,2745.0683
2024-12-03,146.15,2771.7515
2024-12-04,146.26,2768.3936
2024-12-05,146.68,2749.4475
2024-12-06,146.35,2791.0648
2024-12-09,141.68,2863.403
2024-12-10,144.94,2837.1563
2024-12-11,144.42,2824.8482
2024-12-12,144.06,2857.7457
2024-12-13,144.28,2801.2736
2024-12-16,145.07,2776.861
2024-12-17,145.75,2762.0238
2024-12-18,145.22,2786.8278
2024-12-19,144.7,2774.7538
2024-12-20,144.9,2771.0877
2024-12-23,143.78,2787.1413
2024-12-24,144.05,2814.8654
2024-12-25,,2814.8654
2024-12-26,,2814.8654
2024-12-27,143.93,2814.4167
2024-12-30,145.09,2810.2529
2024-12-31,143.0,2812.3912
2025-01-02,144.6,2754.1643
2025-01-03,143.13,2762.1864
2025-01-06,142.86,2750.007
2025-01-07,143.64,2712.3165
2025-01-08,144.5,2683.52
2025-01-09,143.89,2683.7367
2025-01-10,143.97,2655.477
2025-01-13,143.86,2630.9343
2025-01-14,143.59,2682.2813
2025-01-15,142.93,2688.0693
2025-01-16,142.39,2717.3617
2025-01-17,142.42,2725.8834
2025-01-20,141.11,2768.5692
2025-01-21,140.35,2790.3691
2025-01-22,140.57,2753.1569
2025-01-23,141.12,2744.1879
2025-01-24,140.09,2792.3267
2025-01-27,139.46,2813.2144
2025-01-28,141.31,
2025-02-03,142.39,
2025-02-04,139.06,
2025-02-05,138.33,2874.1818
2025-02-06,136.87,2914.4807
2025-02-07,137.24,2949.0104
2025-02-10,136.03,2994.5169
2025-02-11,137.48,2960.2572
2025-02-12,135.25,3041.4575
2025-02-13,137.41,3031.1456
2025-02-14,135.26,3146.2784
2025-02-17,135.47,3162.4359
2025-02-18,134.2,3208.4162
2025-02-19,134.45,3205.1728
2025-02-20,135.14,3157.2157
2025-02-21,133.72,3287.9722
2025-02-24,133.19,3260.9621
2025-02-25,133.59,3216.5771
2025-02-26,131.54,3316.2429
2025-02-27,131.87,3310.4057
2025-02-28,133.62,3200.3841
2025-03-03,133.4,3215.6633
2025-03-04,133.61,3211.2393
2025-03-05,132.61,3293.5415
2025-03-06,131.46,3402.8707
2025-03-07,131.43,3382.1214
2025-03-10,131.55,3322.6598
2025-03-11,132.79,3324.1755
2025-03-12,131.73,3305.9646
2025-03-13,132.03,3284.9277
2025-03-14,131.2,3352.8215
2025-03-17,130.64,3380.5356
2025-03-18,128.51,3462.1629
2025-03-19,128.68,3459.8652
2025-03-20,129.66,3386.2878
2025-03-21,130.55,3313.012
2025-03-24,129.64,3337.1935
2025-03-25,131.72,3260.8632
2025-03-26,131.69,3284.0429
2025-03-27,132.24,3300.8137
2025-03-28,132.71,3285.6754
2025-03-31,133.78,3238.829
2025-04-01,132.6,3263.9807
