date,usd_index,usdhkd
2024-01-01,101.322,7.8003
2024-01-02,102.246,7.8152
2024-01-03,102.4691,7.8074
2024-01-04,102.4253,7.8088
2024-01-05,102.4395,7.8125
2024-01-08,102.2903,7.8072
2024-01-09,102.5125,7.8168
2024-01-10,102.3529,7.8198
2024-01-11,102.31,7.818
2024-01-12,102.4403,7.8203
2024-01-15,102.5912,7.825
2024-01-16,103.336,7.8261
2024-01-17,103.3728,7.8212
2024-01-18,103.4048,7.8201
2024-01-19,103.2317,7.8181
2024-01-22,103.3466,7.818
2024-01-23,103.5491,7.8224
2024-01-24,103.2583,7.8179
2024-01-25,103.4839,7.8182
2024-01-26,103.4744,7.8148
2024-01-29,103.468,7.8136
2024-01-30,103.3969,7.8181
2024-01-31,103.5235,7.818
2024-02-01,103.0629,7.8202
2024-02-02,103.9655,7.8211
2024-02-05,104.4557,7.8216
2024-02-06,104.1764,7.8225
2024-02-07,104.0499,7.8188
2024-02-08,104.1405,7.8211
2024-02-09,104.0736,7.8199
2024-02-12,104.1446,7.8171
2024-02-13,104.8646,7.8197
2024-02-14,104.7252,7.8187
2024-02-15,104.2652,7.82
2024-02-16,104.2766,7.8221
2024-02-19,104.2525,7.8207
2024-02-20,104.0599,7.821
2024-02-21,103.986,7.8207
2024-02-22,103.9406,7.8222
2024-02-23,103.9738,7.8241
2024-02-26,103.7777,7.8246
2024-02-27,103.8116,7.8247
2024-02-28,103.9365,7.8279
2024-02-29,104.1359,7.8288
2024-03-01,103.8849,7.8292
2024-03-04,103.8343,7.8245
2024-03-05,103.783,7.8239
2024-03-06,103.367,7.8251
2024-03-07,102.8058,7.8206
2024-03-08,102.742,7.8208
2024-03-11,102.8445,7.8211
2024-03-12,102.9321,7.8239
2024-03-13,102.8119,7.8236
2024-03-14,103.3672,7.8232
2024-03-15,103.4531,7.8227
2024-03-18,103.5873,7.8194
2024-03-19,103.8142,7.823
2024-03-20,103.4023,7.8236
2024-03-21,104.0074,7.8216
2024-03-22,104.4332,7.8221
2024-03-25,104.2268,7.8214
2024-03-26,104.3076,7.8232
2024-03-27,104.2877,7.824
2024-03-28,104.539,7.826
2024-03-29,104.507,7.8225
2024-04-01,104.9595,7.8257
2024-04-02,104.773,7.8292
2024-04-03,104.2442,7.829
2024-04-04,104.2239,7.8287
2024-04-05,104.2968,7.8283
2024-04-08,104.1426,7.8316
2024-04-09,104.1119,7.8306
2024-04-10,105.1975,7.8355
2024-04-11,105.2839,7.8373
2024-04-12,106.0228,7.8373
2024-04-15,106.2061,7.8284
2024-04-16,106.3671,7.8314
2024-04-17,105.9426,7.8299
2024-04-18,106.1675,7.8316
2024-04-19,106.1149,7.8317
2024-04-22,106.13,7.8358
2024-04-23,105.6998,7.8349
2024-04-24,105.816,7.8306
2024-04-25,105.5759,7.8281
2024-04-26,106.0902,7.8281
2024-04-29,105.6515,7.8238
2024-04-30,106.3369,7.824
2024-05-01,105.6542,7.822
2024-05-02,105.3848,7.8128
2024-05-03,105.0851,7.8126
2024-05-06,105.0927,7.8183
2024-05-07,105.3886,7.8214
2024-05-08,105.5079,7.8173
2024-05-09,105.2242,7.8144
2024-05-10,105.3277,7.814
2024-05-13,105.2154,7.8123
2024-05-14,104.9989,7.8119
2024-05-15,104.3015,7.8099
2024-05-16,104.5052,7.8006
2024-05-17,104.4932,7.8029
2024-05-20,104.6184,7.7983
2024-05-21,104.6514,7.8047
2024-05-22,104.9321,7.8077
2024-05-23,105.0274,7.8092
2024-05-24,104.7421,7.8121
2024-05-27,104.5908,7.808
2024-05-28,104.6242,7.8116
2024-05-29,105.1293,7.8139
2024-05-30,104.7489,7.8172
2024-05-31,104.6318,7.8204
2024-06-03,104.0608,7.8196
2024-06-04,104.1518,7.8131
2024-06-05,104.3163,7.8113
2024-06-06,104.1168,7.8093
2024-06-07,104.9395,7.8125
2024-06-10,105.125,7.8131
2024-06-11,105.2706,7.8127
2024-06-12,104.7081,7.8096
2024-06-13,105.2302,7.8099
2024-06-14,105.5267,7.811
2024-06-17,105.3287,7.8107
2024-06-18,105.2666,7.8072
2024-06-19,105.252,7.8058
2024-06-20,105.6637,7.805
2024-06-21,105.8251,7.8049
2024-06-24,105.4874,7.8069
2024-06-25,105.6271,7.8094
2024-06-26,106.0545,7.8089
2024-06-27,105.9304,7.8088
2024-06-28,105.8427,7.8082
2024-07-01,105.8109,7.8117
2024-07-02,105.6907,7.8136
2024-07-03,105.3534,7.8096
2024-07-04,105.1517,7.8085
2024-07-05,104.8689,7.8134
2024-07-08,105.0203,7.8101
2024-07-09,105.1279,7.812
2024-07-10,105.0023,7.8111
2024-07-11,104.4488,7.8075
2024-07-12,104.0997,7.8077
2024-07-15,104.2633,7.8066
2024-07-16,104.2283,7.8082
2024-07-17,103.7261,7.8071
2024-07-18,104.1947,7.8098
2024-07-19,104.3654,7.8106
2024-07-22,104.2941,7.8075
2024-07-23,104.4379,7.8101
2024-07-24,104.356,7.8088
2024-07-25,104.4053,7.8069
2024-07-26,104.3233,7.8055
2024-07-29,104.5744,7.8106
2024-07-30,104.469,7.813
2024-07-31,104.0574,7.8126
2024-08-01,104.3402,7.8154
2024-08-02,103.2295,7.8071
2024-08-05,102.7266,7.7887
2024-08-06,102.8943,7.7949
2024-08-07,103.182,7.7984
2024-08-08,103.2189,7.795
2024-08-09,103.1518,7.7977
2024-08-12,103.1307,7.7917
2024-08-13,102.6141,7.7883
2024-08-14,102.6053,7.772
2024-08-15,103.0517,7.7964
2024-08-16,102.404,7.7941
2024-08-19,101.8578,7.7888
2024-08-20,101.3677,7.7885
2024-08-21,101.1756,7.7936
2024-08-22,101.5149,7.7974
2024-08-23,100.6824,7.7957
2024-08-26,100.8783,7.7961
2024-08-27,100.5549,7.8017
2024-08-28,101.0631,7.8014
2024-08-29,101.3796,7.7974
2024-08-30,101.732,7.7989
2024-09-02,101.6452,7.796
2024-09-03,101.7512,7.7985
2024-09-04,101.2864,7.797
2024-09-05,101.06,7.7939
2024-09-06,101.183,7.7956
2024-09-09,101.6448,7.7977
2024-09-10,101.6712,7.7976
2024-09-11,101.7414,7.7985
2024-09-12,101.242,7.8024
2024-09-13,101.111,7.7997
2024-09-16,100.6625,7.7931
2024-09-17,101.0186,7.7941
2024-09-18,100.942,7.7931
2024-09-19,100.6377,7.7936
2024-09-20,100.7335,7.7919
2024-09-23,100.9383,7.7866
2024-09-24,100.3527,7.7844
2024-09-25,100.9252,7.7841
2024-09-26,100.5576,7.7795
2024-09-27,100.4199,7.7721
2024-09-30,100.7604,7.7726
2024-10-01,101.2063,7.7716
2024-10-02,101.6375,7.7637
2024-10-03,101.9663,7.7649
2024-10-04,102.493,7.7656
2024-10-07,102.4853,7.7661
2024-10-08,102.4619,7.7761
2024-10-09,102.9008,7.7718
2024-10-10,102.8529,7.77
2024-10-11,102.9254,7.77
2024-10-14,103.1953,7.7641
2024-10-15,103.2112,7.7681
2024-10-16,103.5218,7.7707
2024-10-17,103.7752,7.7747
2024-10-18,103.4615,7.7703
