date,hsi_close,hstech_close,vhsi_close,up_count,down_count,southbound_net_buy_100mn,short_ratio,hstech_hsi_ratio,advance_line,advance_line_ma20,southbound_ma20,breadth_z,vhsi_z,relative_z,southbound_z,short_z,hk_sentiment_z
2024-01-02,16788.55,3714.77,22.29,14.0,68.0,35.004,0.1327,0.22126806662874401,-54.0,,,,,,,,
2024-01-03,16646.41,3646.39,22.07,18.0,58.0,62.1426,0.1601,0.21904963292385565,-40.0,,,,,,,,
2024-01-04,16645.98,3654.94,21.77,33.0,47.0,19.5867,0.1713,0.2195689289546185,-14.0,,,,,,,,
2024-01-05,16535.33,3592.33,21.47,25.0,55.0,14.6487,0.1631,0.21725178753614227,-30.0,,,,,,,,
2024-01-08,16224.45,3484.75,22.53,3.0,77.0,-13.0989,0.1735,0.21478386016166956,-74.0,-42.4,23.65662,,,,,,
2024-01-09,16190.02,3454.5,22.05,43.0,35.0,-36.9006,0.1422,0.21337218854578313,8.0,-34.0,13.563749999999999,,,,,,
2024-01-10,16097.28,3428.2,21.85,26.0,52.0,23.4492,0.1484,0.2129676566475827,-26.0,-32.857142857142854,14.975957142857142,,,,,,
2024-01-11,16302.04,3503.02,21.82,61.0,19.0,-49.577,0.1581,0.21488230920792734,42.0,-23.5,6.9068375,,,,,,
2024-01-12,16244.58,3470.64,21.6,36.0,41.0,13.3938,0.1679,0.21364910634808656,-5.0,-21.444444444444443,7.627611111111111,,,,,,
2024-01-15,16216.33,3404.0,21.75,33.0,43.0,38.6312,0.1649,0.20991186045177918,-10.0,-20.3,10.72797,,,,,,
2024-01-16,15865.92,3325.93,22.51,6.0,75.0,26.8364,0.2019,0.20962730178899175,-69.0,-24.727272727272727,12.192372727272726,,,,,,
2024-01-17,15276.9,3160.0,25.72,0.0,82.0,54.2371,0.1994,0.20684824800843105,-82.0,-29.5,15.696100000000001,,,,,,
2024-01-18,15391.79,3176.08,24.69,60.0,19.0,5.2824,0.1953,0.20634896915823303,41.0,-24.076923076923077,14.895046153846154,,,,,,
2024-01-19,15308.69,3129.92,24.13,22.0,57.0,9.3748,0.2032,0.2044538102215147,-35.0,-24.857142857142858,14.500742857142857,,,,,,
