date,wind_all_a_proxy_amount,hs300_amount,csi500_amount,csi1000_amount,csi2000_amount,hs300_share_pct,csi500_share_pct,csi1000_share_pct,csi2000_share_pct
2024-01-01,7698.27,1840.96,1068.4,1413.52,2328.19,23.913944301771693,13.878442818971015,18.361527979662963,30.243028628510043
2024-01-02,7698.27,1840.96,1068.4,1413.52,2328.19,23.913944301771693,13.878442818971015,18.361527979662963,30.243028628510043
2024-01-03,7186.54,1650.99,998.84,1311.79,2274.51,22.97336409454341,13.898760738825638,18.253429327604103,31.64958380528043
2024-01-04,6561.39,1655.12,910.11,1126.43,1994.49,25.225142843208527,13.870688985108337,17.167551387739486,30.397370069451746
2024-01-05,7163.49,1822.52,1010.85,1266.83,2130.7,25.441788848731555,14.111138565140735,17.68453644801626,29.743881822966177
2024-01-08,6390.85,1707.62,927.93,1126.34,1807.43,26.71976341175274,14.519664833316382,17.62425968376663,28.281527496342427
2024-01-09,6552.89,1722.76,909.6,1146.78,1921.41,26.290079644248564,13.880898351719622,17.500370065726724,29.321566514927
2024-01-10,6277.23,1597.78,842.28,1081.58,1888.99,25.453583825986943,13.418020368856965,17.230211414907533,30.09273198528651
2024-01-11,6875.73,1809.79,1061.52,1236.35,1897.62,26.321423325232374,15.438651604993217,17.98136343340998,27.598814962193106
2024-01-12,6525.32,1565.36,932.71,1182.9,1954.23,23.98901509811013,14.293705136299831,18.12784660369147,29.94841632287765
2024-01-15,5910.79,1443.32,880.28,1074.28,1743.43,24.4183941571262,14.892763911423007,18.17489709497377,29.495718846380942
2024-01-16,6633.64,1756.51,923.38,1136.7,1961.92,26.4788261045218,13.919657985660963,17.135388715697566,29.57531611603886
2024-01-17,6195.7,1735.16,879.31,1041.39,1753.68,28.005875042368096,14.192262375518505,16.808270251948933,28.304792033184306
2024-01-18,8429.09,2567.85,1234.36,1429.66,2201.96,30.4641426298687,14.64404817127353,16.961024262405548,26.123341902862585
2024-01-19,6468.89,1912.62,920.39,1091.75,1739.31,29.56643257189409,14.22794327929521,16.87692942684139,26.887302149209525
2024-01-22,7751.18,2255.1,1156.23,1396.01,2041.44,29.093634775608358,14.916825567203961,18.010290046160712,26.337151246648897
2024-01-23,6855.73,1937.91,1078.09,1241.63,1762.32,28.26701168219869,15.725385918056867,18.110835753450036,25.705796465146673
2024-01-24,7454.6,2190.36,1126.83,1352.22,1910.05,29.382663053684972,15.115901590963968,18.13940385802055,25.622434469991678
2024-01-25,8692.38,2655.21,1348.23,1583.19,2124.57,30.54640961393773,15.510481594223908,18.213538754633372,24.441752431439955
2024-01-26,8053.97,2381.45,1192.33,1500.31,1996.41,29.568647511724027,14.80425181618506,18.62820447555677,24.7878996321069
2024-01-29,7803.21,2446.98,1178.35,1412.95,1897.29,31.35863317788449,15.100836706944962,18.10729174275715,24.314224530673915
2024-01-30,6401.3,1995.93,954.74,1175.87,1557.33,31.180072797712967,14.914782934716387,18.369237498633087,24.328339556027682
2024-01-31,7382.13,2153.33,1165.93,1393.0,1827.79,29.16949444130623,15.7939510683231,18.869892564883035,24.759656088418925
2024-02-01,6855.56,2038.15,1075.09,1291.0,1672.52,29.729883481436964,15.682015765305824,18.831430255150565,24.396548203210237
2024-02-02,7866.58,2344.95,1249.53,1500.01,1886.83,29.809014845078803,15.884030925764437,19.068133801474087,23.985391364481135
2024-02-05,8604.13,2797.13,1435.47,1662.07,1837.42,32.509155486958015,16.68349966818261,19.31711863953706,21.355093426064
2024-02-06,9083.58,2850.42,1564.85,1693.31,1991.01,31.37991849028687,17.227238599759126,18.641438727902436,21.918780921178655
2024-02-07,10001.76,2979.98,2126.18,1887.13,2002.98,29.79455615811617,21.25805858168962,18.867979235654524,20.026275375533906
2024-02-08,9930.8,2702.4,2122.56,1922.62,2163.64,27.212309179522297,21.37350465219318,19.360172392959278,21.787167197003264
2024-02-19,9338.24,2676.74,1728.06,1858.85,2083.23,28.664287917209236,18.505200123363714,19.905785244328694,22.3085934822836
2024-02-20,7683.96,2184.59,1332.42,1510.79,1791.55,28.430522803346193,17.340277669326753,19.66160677567296,23.315451928432733
2024-02-21,9547.07,2918.24,1555.61,1780.53,2215.17,30.56686501722518,16.294109082681913,18.650015135533728,23.202616090591146
2024-02-22,8001.7,2250.98,1275.47,1468.39,2023.22,28.131272104677755,15.939987752602573,18.350975417723735,25.284876963645225
2024-02-23,8969.85,2329.26,1454.42,1675.41,2368.93,25.967658322045523,16.214540934352303,18.67823876653456,26.409917668634364
2024-02-26,9602.29,2389.52,1526.01,1802.23,2675.5,24.884897248468853,15.892146560872458,18.768752037274442,27.86314514558506
2024-02-27,9619.44,2444.89,1572.02,1834.76,2560.54,25.41613649027386,16.342115549345905,19.07345957768851,26.618389428074813
2024-02-28,13190.2,3283.01,2141.35,2518.6,3611.0,24.88976664493336,16.234401297933314,19.09447923458325,27.376385498324513
2024-02-29,10259.32,2819.72,1789.76,1852.2,2577.11,27.484472655107744,17.44521079369783,18.053828128959815,25.11969604223282
2024-03-01,10283.81,2885.76,1711.03,1963.39,2574.03,28.061195218503656,16.63809424717104,19.09204856954767,25.029925679295907
2024-03-04,10505.36,2977.2,1759.06,1997.65,2639.01,28.33981891148899,16.744404760998194,19.015531119352406,25.120605100634343
2024-03-05,10398.97,2998.96,1742.83,1964.28,2578.57,28.839010017338257,16.75964061825354,18.889178447480855,24.796398104812305
2024-03-06,9062.77,2482.94,1468.43,1649.79,2407.47,27.397142374792693,16.20288278307846,18.20403695558863,26.564394771135092
2024-03-07,9510.8,2518.4,1574.42,1675.25,2595.63,26.479370820540858,16.55402279513816,17.614185978046013,27.29139504563234
2024-03-08,8343.16,2253.79,1440.04,1475.32,2221.63,27.013625532771755,17.260126858408565,17.682988220290632,26.628160073641165
2024-03-11,9795.12,2864.19,1735.89,1751.53,2376.16,29.240989390635335,17.721988092029502,17.881659438577575,24.25861041008175
2024-03-12,11181.88,3399.97,1788.49,1989.09,2750.37,30.406067673772206,15.994537591174293,17.788511413107635,24.59666889646464
2024-03-13,10287.93,2668.99,1645.26,2003.55,2744.86,25.942925350386325,15.992138360194907,19.474763144772563,26.680391487889203
2024-03-14,9823.89,2638.04,1573.37,1844.1,2600.36,26.853313707706416,16.015753433721265,18.771586408235436,26.469758924417924
2024-03-15,9215.52,2439.92,1587.19,1715.73,2370.71,26.476205357917948,17.22301074708752,18.617831657898847,25.725189680018058
2024-03-18,11101.35,2953.15,1907.94,2120.7,2862.96,26.601719610677982,17.186558391546974,19.10308205758759,25.789295896445026
2024-03-19,10495.34,2595.53,1766.62,2023.58,2918.09,24.730308879941003,16.83242277048671,19.28074745553741,27.803672868149103
2024-03-20,9714.44,2237.52,1570.36,1998.62,2726.66,23.03292830055052,16.16521384660361,20.573702652957863,28.068113035851784
2024-03-21,10370.46,2331.62,1592.52,2156.21,2999.28,22.483284251614684,15.356310134748123,20.791845299051346,28.92137860808489
2024-03-22,10692.46,2488.51,1631.86,2265.06,2977.53,23.273503010532657,15.26178260194567,21.18371263488477,27.84700620811301
2024-03-25,10180.64,2337.47,1562.52,2246.13,2800.81,22.959951437237734,15.347954549026388,22.062758333464302,27.511138788917005
2024-03-26,9341.37,2267.31,1452.96,1972.61,2527.25,24.271707469032915,15.554035435915717,21.116923962973306,27.054382815368623
2024-03-27,8681.56,2164.05,1298.29,1839.79,2308.42,24.92697165025641,14.954570376752566,21.19192863955326,26.589921626988698
2024-03-28,9092.47,2325.31,1406.13,1875.97,2389.94,25.57401894094784,15.464774698184325,20.632127463714482,26.28482689522209
2024-03-29,8359.15,2017.49,1265.74,1773.37,2268.88,24.135109430982816,15.141970176393535,21.214716807330888,27.14247261982379
2024-04-01,9760.32,2516.37,1665.53,2024.13,2432.22,25.781634208714465,17.06429707222714,20.738356939116752,24.919469853447428
2024-04-02,9434.98,2202.08,1557.8,2018.31,2511.29,23.33953013148942,16.510898804236998,21.391778254961853,26.61680257933774
2024-04-03,8947.3,2142.23,1541.14,1917.3,2301.83,23.942753679881086,17.22463760016989,21.4288109262012,25.726532026421378
2024-04-08,9082.79,2432.49,1612.61,1867.31,2160.52,26.781308386519996,17.754566603433524,20.558771038414406,23.78696413767135
2024-04-09,7757.11,1958.94,1332.63,1602.93,2013.42,25.253477132591907,17.17946503272482,20.664010179048642,25.95580054943143
2024-04-10,8074.78,1997.55,1322.51,1644.78,2195.06,24.738135280465844,16.378279036704406,20.36934752401923,27.184146193456666
2024-04-11,7905.44,2002.93,1412.91,1627.48,1998.81,25.336097674512743,17.872629480459025,20.586836406322735,25.28398166325973
2024-04-12,7868.16,2085.66,1361.45,1553.86,1979.73,26.507595168374813,17.303283105579958,19.748708719700666,25.16128294289898
2024-04-15,9674.47,2674.72,1692.69,1883.83,2366.46,27.647199278099986,17.496462338505367,19.472177804055416,24.46087485929462
2024-04-16,9219.51,2533.16,1687.78,1881.23,2191.77,27.47608061599803,18.306612824325804,20.404880519680546,23.77317232694579
2024-04-17,8918.34,2449.88,1556.61,1812.06,2127.49,27.470134576614036,17.454032925409884,20.318355209601783,23.855224178490612
2024-04-18,9224.88,2613.3,1673.39,1876.26,2095.87,28.328823789577758,18.1399649643139,20.339126362619353,22.71975353608936
2024-04-19,8363.38,2262.3,1560.1,1765.33,1930.68,27.05006827383188,18.653941349071786,21.10785352333626,23.08492499444005
