date,沪深300,上证指数,科创50
2025-01-02,3820.4,3262.56,955.33
2025-01-03,3775.16,3211.43,941.82
2025-01-06,3768.97,3206.92,938.71
2025-01-07,3796.11,3229.64,965.53
2025-01-08,3789.22,3230.17,965.12
2025-01-09,3779.88,3211.39,961.44
2025-01-10,3732.48,3168.52,950.59
2025-01-13,3722.51,3160.76,952.19
2025-01-14,3820.54,3240.94,981.78
2025-01-15,3796.03,3227.12,977.66
2025-01-16,3800.38,3236.03,956.4
2025-01-17,3812.34,3241.82,965.9
2025-01-20,3829.68,3244.38,968.27
2025-01-21,3832.61,3242.62,976.3
2025-01-22,3797.02,3213.62,975.34
2025-01-23,3803.74,3230.16,966.11
2025-01-24,3832.86,3252.63,974.83
2025-01-27,3817.08,3250.6,955.09
2025-02-05,3795.08,3229.49,982.83
2025-02-06,3842.83,3270.66,1011.22
2025-02-07,3892.7,3303.67,1018.8
2025-02-10,3901.06,3322.17,1036.77
2025-02-11,3883.14,3318.06,1024.41
2025-02-12,3919.86,3346.39,1041.14
2025-02-13,3905.14,3332.48,1017.09
2025-02-14,3939.01,3346.72,1022.46
2025-02-17,3947.4,3355.83,1037.31
2025-02-18,3912.78,3324.49,1011.17
2025-02-19,3940.16,3351.54,1034.57
2025-02-20,3928.9,3350.78,1033.09
2025-02-21,3978.44,3379.11,1094.77
2025-02-24,3969.72,3373.03,1100.05
2025-02-25,3925.65,3346.04,1102.9
2025-02-26,3959.94,3380.21,1126.82
2025-02-27,3968.12,3388.06,1126.29
2025-02-28,3890.05,3320.9,1078.8
2025-03-03,3888.47,3316.93,1062.35
2025-03-04,3885.22,3324.21,1080.66
2025-03-05,3902.57,3341.96,1083.82
2025-03-06,3956.24,3381.1,1121.58
2025-03-07,3944.01,3372.55,1107.62
2025-03-10,3928.8,3366.16,1105.16
2025-03-11,3941.42,3379.83,1100.74
2025-03-12,3927.23,3371.92,1092.71
2025-03-13,3911.58,3358.73,1069.7
2025-03-14,4006.56,3419.56,1088.11
2025-03-17,3996.79,3426.13,1083.21
2025-03-18,4007.72,3429.76,1089.83
2025-03-19,4010.17,3426.43,1076.94
2025-03-20,3974.99,3408.95,1064.79
2025-03-21,3914.7,3364.83,1042.89
2025-03-24,3934.85,3370.03,1045.94
2025-03-25,3932.3,3369.98,1031.7
2025-03-26,3919.36,3368.7,1029.05
2025-03-27,3932.41,3373.75,1040.57
2025-03-28,3915.17,3351.31,1029.48
2025-03-31,3887.31,3335.75,1022.71
2025-04-01,3887.68,3348.44,1024.38
2025-04-02,3884.39,3350.13,1022.75
2025-04-03,3861.5,3342.01,1018.07
2025-04-07,3589.44,3096.58,924.17
2025-04-08,3650.76,3145.55,940.09
2025-04-09,3686.79,3186.81,980.57
2025-04-10,3735.12,3223.64,991.22
2025-04-11,3750.52,3238.23,1011.71
2025-04-14,3759.14,3262.81,1014.28
2025-04-15,3761.23,3267.66,1006.34
2025-04-16,3772.82,3276.0,1014.51
2025-04-17,3772.22,3280.34,1016.81
