date,cum_value,cum_yoy,source
2015-02-28,7452.4,-4.2,Wind EDB M0000556/M0000557 国家统计局
2015-03-31,12543.2,-2.7,Wind EDB M0000556/M0000557 国家统计局
2015-04-30,17341.3,-1.3,Wind EDB M0000556/M0000557 国家统计局
2015-05-31,22547.6,-0.8,Wind EDB M0000556/M0000557 国家统计局
2015-06-30,28441.8,-0.7,Wind EDB M0000556/M0000557 国家统计局
2015-07-31,33173.1,-1.0,Wind EDB M0000556/M0000557 国家统计局
2015-08-31,37662.7,-1.9,Wind EDB M0000556/M0000557 国家统计局
2015-09-30,43032.4,-1.7,Wind EDB M0000556/M0000557 国家统计局
2015-10-31,48666.0,-2.0,Wind EDB M0000556/M0000557 国家统计局
2015-11-30,55386.8,-1.9,Wind EDB M0000556/M0000557 国家统计局
2015-12-31,63554.0,-2.3,Wind EDB M0000556/M0000557 国家统计局
2016-02-29,7807.1,4.8,Wind EDB M0000556/M0000557 国家统计局
2016-03-31,13421.5,7.4,Wind EDB M0000556/M0000557 国家统计局
2016-04-30,18442.2,6.5,Wind EDB M0000556/M0000557 国家统计局
2016-05-31,23816.4,6.4,Wind EDB M0000556/M0000557 国家统计局
2016-06-30,29998.2,6.2,Wind EDB M0000556/M0000557 国家统计局
2016-07-31,35235.9,6.9,Wind EDB M0000556/M0000557 国家统计局
2016-08-31,40583.6,8.4,Wind EDB M0000556/M0000557 国家统计局
2016-09-30,46380.6,8.4,Wind EDB M0000556/M0000557 国家统计局
2016-10-31,52567.7,8.6,Wind EDB M0000556/M0000557 国家统计局
2016-11-30,60334.1,9.4,Wind EDB M0000556/M0000557 国家统计局
2016-12-31,68803.2,8.5,Wind EDB M0000556/M0000557 国家统计局
2017-02-28,10156.8,31.5,Wind EDB M0000556/M0000557 国家统计局
2017-03-31,17043.0,28.3,Wind EDB M0000556/M0000557 国家统计局
2017-04-30,22780.3,24.4,Wind EDB M0000556/M0000557 国家统计局
2017-05-31,29047.6,22.7,Wind EDB M0000556/M0000557 国家统计局
2017-06-30,36337.5,22.0,Wind EDB M0000556/M0000557 国家统计局
