代码,名称,连续涨停天数,流通市值,现价,成交额,主营业务,涨停原因
300058,蓝色光标,1,499.082995467,14.35,85.52639488,营销服务（数字营销、公共关系、活动管理等）、数字广告（移动广告、智能电视广告、中国企业出海数字广告）以及国际业务,公开涨停池未披露具体原因；按行情特征归纳为广告营销板块，1连板，涨停统计1/1。
600667,太极实业,1,360.3727172694,17.23,63.38231296,半导体业务、工程技术服务业务、光伏电站投资运营业务,公开涨停池未披露具体原因；按行情特征归纳为工程咨询板块，1连板，涨停统计1/1。
300418,昆仑万维,1,507.739945104,43.2,60.6593536,海外社交娱乐平台StarX，海外信息分发及元宇宙平台Opera、全球移动游戏平台Ark Games、休闲娱乐平台闲徕互娱。,公开涨停池未披露具体原因；按行情特征归纳为数字媒体板块，1连板，涨停统计1/1。
002131,利欧股份,1,272.8336079564,4.66,37.61789424,机械制造业务和数字营销业务。,公开涨停池未披露具体原因；按行情特征归纳为通用设备板块，1连板，涨停统计1/1。
002432,九安医疗,1,318.525430272,68.46,32.16973824,家用医疗健康电子产品的研发、生产和销售以及云平台系统及服务,公开涨停池未披露具体原因；按行情特征归纳为医疗器械板块，1连板，涨停统计1/1。
002851,麦格米特,1,491.30890739349996,106.45,31.06508816,电能的变换、控制和应用,公开涨停池未披露具体原因；按行情特征归纳为其他电源板块，1连板，涨停统计1/1。
600580,卧龙电驱,1,493.6137427359,31.69,21.91936096,电机及控制、电源电池、光伏电站、贸易,公开涨停池未披露具体原因；按行情特征归纳为电机Ⅱ板块，1连板，涨停统计1/1。
301171,易点天下,1,153.0246331389,30.49,20.76622384,效果广告服务、品牌广告服务以及头部媒体账户管理服务。,公开涨停池未披露具体原因；按行情特征归纳为广告营销板块，1连板，涨停统计1/1。
300364,中文在线,1,163.98364494589998,24.83,20.53546624,数字阅读业务、版权（IP）深度运营业务、版权（IP）轻衍生业务、知识产权业务与游戏业务；教育阅读平台及教育服务平台,公开涨停池未披露具体原因；按行情特征归纳为数字媒体板块，1连板，涨停统计1/1。
603629,利通电子,1,346.33053634,96.01,18.12470752,应用于液晶电视等液晶显示领域的精密金属结构件、电子元器件的设计、生产、销售。,公开涨停池未披露具体原因；按行情特征归纳为消费电子板块，1连板，涨停统计1/1。
