代码,名称,连续涨停天数,流通市值,现价,成交额,主营业务,涨停原因
002412,汉森制药,5,61.3842885,12.33,12.3622704,胃肠疾病、骨伤科疾病及心脑血管疾病中药制剂的研发、生产与销售,公开涨停池未披露具体原因；按行情特征归纳为中药Ⅱ板块，5连板，涨停统计5/5。
000017,深中华A,4,37.910687786,8.6,4.9748392,阿米尼牌自行车、电动自行车、锂电池材料、黄金珠宝。,公开涨停池未披露具体原因；按行情特征归纳为饰品板块，4连板，涨停统计4/4。
600785,新华百货,3,37.2111106976,11.78,7.83600368,商业零售、物流和商业物业出租业务。,公开涨停池未披露具体原因；按行情特征归纳为一般零售板块，3连板，涨停统计3/3。
003040,楚天龙,3,70.7204199384,15.48,6.78449056,多领域高端智能卡及配套软件、智能终端设备、数字档案、应用平台系统及安全解决方案的提供商。,公开涨停池未披露具体原因；按行情特征归纳为通信设备板块，3连板，涨停统计3/3。
002041,登海种业,2,98.648,11.21,9.31125392,玉米种子生产、自育农作物杂交种子销售，花卉、苗木、食用菌类种苗的开发及技术服务。,公开涨停池未披露具体原因；按行情特征归纳为种植业板块，2连板，涨停统计6/3。
600508,上海能源,2,109.98322524,10.87,4.2324048,煤炭开采、洗选加工、煤炭销售，铁路运输（限管辖内的煤矿专用铁路），火力发电，铝及铝合金的压延加工生产及销售等业务。,公开涨停池未披露具体原因；按行情特征归纳为煤炭开采板块，2连板，涨停统计2/2。
600984,建设机械,2,62.09796989500001,4.94,0.68324152,工程机械制造和工程机械租赁,公开涨停池未披露具体原因；按行情特征归纳为工程机械板块，2连板，涨停统计2/2。
002445,中南文化,2,87.7880316733,3.71,0.20938572,从事文化娱乐与先进生产制造相关业务。,公开涨停池未披露具体原因；按行情特征归纳为通用设备板块，2连板，涨停统计2/2。
002084,海鸥住工,2,28.041598226999998,4.35,0.1111502,高档水龙头零组件、排水器、温控阀、地暖系统、浴缸、淋浴房、陶瓷洁具等定制整装卫浴空间内的部品部件的研发、生产。,公开涨停池未披露具体原因；按行情特征归纳为家居用品板块，2连板，涨停统计2/2。
002837,英维克,1,682.5505080139,60.23,56.46530048,机房温控节能产品、机柜温控节能产品、客车空调、轨道交通列车空调及服务,公开涨停池未披露具体原因；按行情特征归纳为专用设备板块，1连板，涨停统计1/1。
