date,budget_expenditure_ytd_yoy,budget_revenue_ytd_yoy,central_revenue_ytd_yoy,local_revenue_ytd_yoy
2024-05-31,3.4,-2.8,-6.7,0.5
2024-06-30,2.0,-2.8,-7.2,0.9
2024-07-31,2.5,-2.6,-6.4,0.6
2024-08-31,1.5,-2.6,-6.2,0.4
2024-09-30,2.0,-2.2,-5.5,0.6
2024-10-31,2.7,-1.3,-3.9,0.9
2024-11-30,2.8,-0.6,-2.5,1.1
2024-12-31,3.6,1.3,0.9,1.7
2025-02-28,3.4,-1.6,-5.8,2.0
2025-03-31,4.2,-1.1,-5.7,2.2
2025-04-30,4.6,-0.4,-3.8,2.2
2025-05-31,4.2,-0.3,-3.0,1.9
2025-06-30,3.4,-0.3,-2.8,1.6
2025-07-31,3.4,0.1,-2.0,1.8
2025-08-31,3.1,0.3,-1.7,1.8
2025-09-30,3.1,0.5,-1.2,1.8
2025-10-31,2.0,0.8,-0.8,2.1
2025-11-30,1.4,0.8,-1.0,2.2
2025-12-31,1.0,-1.7,-6.5,2.4
2026-02-28,3.6,0.7,-1.7,2.6
2026-03-31,2.6,2.4,2.7,2.1
2026-04-30,1.3,3.5,4.6,2.7
2026-05-31,0.8,4.0,5.7,2.7
2026-06-30,1.5,4.7,7.5,2.7
