date,inventory_yoy,ppi_yoy,real_inventory_yoy
1997-01-31,,0.12,
1997-02-28,14.5,0.44,14.06
1997-03-31,14.2,0.47,13.729999999999999
1997-04-30,13.0,0.06,12.94
1997-05-31,12.9,0.07,12.83
1997-06-30,13.1,-0.37,13.469999999999999
1997-07-31,12.2,-0.65,12.85
1997-08-31,12.3,-0.89,13.190000000000001
1997-09-30,12.3,-0.95,13.25
1997-10-31,12.7,-0.92,13.62
1997-11-30,13.1,-0.61,13.709999999999999
1997-12-31,11.7,-0.92,12.62
1998-01-31,,-1.32,
1998-02-28,14.2,-2.65,16.849999999999998
1998-03-31,14.2,-3.2,17.4
1998-04-30,12.82,-3.69,16.51
1998-05-31,12.37,-4.47,16.84
1998-06-30,10.1,-4.88,14.98
1998-07-31,9.81,-4.96,14.77
1998-08-31,8.9,-5.54,14.440000000000001
1998-09-30,7.3,-4.19,11.49
1998-10-31,6.6,-5.38,11.98
1998-11-30,5.5,-5.68,11.18
1998-12-31,5.5,-5.38,10.879999999999999
1999-01-31,,-4.92,
1999-02-28,7.37,-4.89,12.26
1999-03-31,5.38,-4.62,10.0
1999-04-30,5.05,-3.86,8.91
1999-05-31,4.55,-3.42,7.97
1999-06-30,3.94,-3.6,7.54
1999-07-31,3.44,-2.51,5.949999999999999
1999-08-31,3.71,-2.3,6.01
1999-09-30,3.66,-2.1,5.76
1999-10-31,3.58,-0.74,4.32
1999-11-30,4.48,-1.04,5.5200000000000005
1999-12-31,4.55,-0.83,5.38
2000-01-31,,0.03,
2000-02-29,2.61,1.2,1.41
2000-03-31,2.54,1.87,0.6699999999999999
2000-04-30,1.43,2.59,-1.16
2000-05-31,1.39,0.67,0.7199999999999999
2000-06-30,2.07,2.95,-0.8800000000000003
2000-07-31,2.42,4.5,-2.08
2000-08-31,3.34,3.92,-0.5800000000000001
2000-09-30,3.64,3.7,-0.06000000000000005
2000-10-31,3.8,3.6,0.19999999999999973
2000-11-30,4.64,3.5,1.1399999999999997
2000-12-31,6.85,2.8,4.05
2001-01-31,,1.43,
2001-02-28,5.9,0.9,5.0
2001-03-31,7.73,0.2,7.53
2001-04-30,7.56,-0.1,7.659999999999999
2001-05-31,7.6,-0.2,7.8
2001-06-30,8.72,-0.6,9.32
2001-07-31,8.59,-1.3,9.89
2001-08-31,7.7,-2.0,9.7
2001-09-30,6.67,-2.9,9.57
2001-10-31,6.53,-3.1,9.63
2001-11-30,5.44,-3.7,9.14
2001-12-31,6.64,-4.0,10.64
2002-01-31,,-4.2,
2002-02-28,3.7,-4.2,7.9
2002-03-31,3.5,-4.0,7.5
2002-04-30,3.43,-3.06,6.49
2002-05-31,4.19,-2.63,6.82
2002-06-30,4.1,-2.5,6.6
2002-07-31,2.27,-2.3,4.57
2002-08-31,2.9,-1.7,4.6
2002-09-30,2.42,-1.4,3.82
2002-10-31,2.21,-1.0,3.21
2002-11-30,2.82,-0.4,3.2199999999999998
2002-12-31,5.24,0.4,4.84
2003-01-31,,2.4,
2003-02-28,7.59,4.0,3.59
2003-03-31,8.27,4.6,3.67
2003-04-30,9.92,3.6,6.32
2003-05-31,10.34,2.0,8.34
2003-06-30,10.35,1.3,9.049999999999999
2003-07-31,11.18,1.4,9.78
2003-08-31,11.37,1.4,9.969999999999999
2003-09-30,11.65,1.4,10.25
2003-10-31,11.5,1.2,10.3
2003-11-30,11.82,1.9,9.92
2003-12-31,11.74,3.0,8.74
2004-01-31,,3.5,
