indicator_key,indicator,date,value,source
industrial,工增,2025-12-01,5.2,AkShare macro_china_gyzjz
industrial,工增,2026-03-01,5.7,AkShare macro_china_gyzjz
industrial,工增,2026-04-01,4.1,AkShare macro_china_gyzjz
industrial,工增,2026-05-01,4.5,AkShare macro_china_gyzjz
industrial,工增,2026-06-01,5.3,AkShare macro_china_gyzjz
industrial,工增,2026-07-01,4.5,AkShare macro_china_gyzjz
service,服务业,2025-11-01,4.2,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2025-12-01,5.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-03-01,5.0,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-04-01,4.3,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-05-01,4.4,国家统计局 中国:服务业生产指数:当月同比 via Wind API
service,服务业,2026-06-01,4.7,国家统计局 中国:服务业生产指数:当月同比 via Wind API
retail,社零,2025-12-01,0.9,AkShare macro_china_consumer_goods_retail
retail,社零,2026-03-01,1.7,AkShare macro_china_consumer_goods_retail
retail,社零,2026-04-01,0.2,AkShare macro_china_consumer_goods_retail
retail,社零,2026-05-01,-0.6,AkShare macro_china_consumer_goods_retail
retail,社零,2026-06-01,1.0,AkShare macro_china_consumer_goods_retail
retail,社零,2026-07-01,0.6,AkShare macro_china_consumer_goods_retail
fai,固投,2025-12-01,-15.21,AkShare macro_china_gdzctz
fai,固投,2026-03-01,-1.12,AkShare macro_china_gdzctz
fai,固投,2026-04-01,-12.01,AkShare macro_china_gdzctz
fai,固投,2026-05-01,-17.15,AkShare macro_china_gdzctz
fai,固投,2026-06-01,-15.6,AkShare macro_china_gdzctz
fai,固投,2026-07-01,-14.19,AkShare macro_china_gdzctz
fai_real_estate,固投/房地产,2025-12-01,-36.85,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-02-01,-10.33,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-03-01,-11.72,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-04-01,-20.14,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-05-01,-24.91,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_real_estate,固投/房地产,2026-06-01,-25.96,国家统计局 中国:房地产开发投资完成额:累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-12-01,-15.95,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-02-01,9.76,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-03-01,8.88,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-04-01,-3.73,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-05-01,-10.78,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-06-01,-10.17,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_manufacturing,固投/制造业,2025-12-01,0.6,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-02-01,3.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-03-01,4.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-04-01,1.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-05-01,-0.4,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2026-06-01,-1.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
export,出口,2026-02-01,39.6,AkShare macro_china_hgjck
export,出口,2026-03-01,2.5,AkShare macro_china_hgjck
export,出口,2026-04-01,14.0,AkShare macro_china_hgjck
export,出口,2026-05-01,19.2,AkShare macro_china_hgjck
export,出口,2026-06-01,26.9,AkShare macro_china_hgjck
export,出口,2026-07-01,23.9,AkShare macro_china_hgjck
import,进口,2026-02-01,14.6,AkShare macro_china_hgjck
import,进口,2026-03-01,28.3,AkShare macro_china_hgjck
import,进口,2026-04-01,25.3,AkShare macro_china_hgjck
import,进口,2026-05-01,27.3,AkShare macro_china_hgjck
import,进口,2026-06-01,35.8,AkShare macro_china_hgjck
import,进口,2026-07-01,27.6,AkShare macro_china_hgjck
cpi,CPI,2026-02-01,1.3,AkShare macro_china_cpi
cpi,CPI,2026-03-01,1.0,AkShare macro_china_cpi
cpi,CPI,2026-04-01,1.2,AkShare macro_china_cpi
cpi,CPI,2026-05-01,1.2,AkShare macro_china_cpi
cpi,CPI,2026-06-01,1.0,AkShare macro_china_cpi
cpi,CPI,2026-07-01,0.5,AkShare macro_china_cpi
