date,indicator_key,indicator,group,value,mom_diff,yoy_diff
2015-01-31,M0017127,生产,component,51.7,,
2015-01-31,M0017128,新订单,component,50.2,,
2015-01-31,M0017129,新出口订单,component,48.4,,
2015-01-31,M0017130,在手订单,component,44.0,,
2015-01-31,M0017131,产成品库存,component,48.0,,
2015-01-31,M0017132,采购量,component,49.6,,
2015-01-31,M0017133,进口,component,46.4,,
2015-01-31,M0017134,主要原材料购进价格,component,41.9,,
2015-01-31,M0017135,原材料库存,component,47.3,,
2015-01-31,M0017136,从业人员,component,47.9,,
2015-01-31,M0017137,供应商配送时间,component,50.2,,
2015-01-31,M0017126,制造业PMI,headline,49.8,,
2015-01-31,M5207831,建筑业PMI,headline,56.9,,
2015-01-31,M5207838,服务业PMI,headline,52.9,,
2015-02-28,M0017127,生产,component,51.4,-0.30000000000000426,
2015-02-28,M0017128,新订单,component,50.4,0.19999999999999574,
2015-02-28,M0017129,新出口订单,component,48.5,0.10000000000000142,
2015-02-28,M0017130,在手订单,component,43.8,-0.20000000000000284,
2015-02-28,M0017131,产成品库存,component,47.0,-1.0,
2015-02-28,M0017132,采购量,component,49.4,-0.20000000000000284,
2015-02-28,M0017133,进口,component,47.5,1.1000000000000014,
2015-02-28,M0017134,主要原材料购进价格,component,43.9,2.0,
2015-02-28,M0017135,原材料库存,component,48.2,0.9000000000000057,
2015-02-28,M0017136,从业人员,component,47.8,-0.10000000000000142,
2015-02-28,M0017137,供应商配送时间,component,49.9,-0.30000000000000426,
2015-02-28,M0017126,制造业PMI,headline,49.9,0.10000000000000142,
2015-02-28,M5207831,建筑业PMI,headline,56.5,-0.3999999999999986,
2015-02-28,M5207838,服务业PMI,headline,53.2,0.30000000000000426,
2015-03-31,M0017127,生产,component,52.1,0.7000000000000028,
2015-03-31,M0017128,新订单,component,50.2,-0.19999999999999574,
2015-03-31,M0017129,新出口订单,component,48.3,-0.20000000000000284,
2015-03-31,M0017130,在手订单,component,44.1,0.30000000000000426,
2015-03-31,M0017131,产成品库存,component,48.6,1.6000000000000014,
2015-03-31,M0017132,采购量,component,49.7,0.30000000000000426,
2015-03-31,M0017133,进口,component,48.1,0.6000000000000014,
2015-03-31,M0017134,主要原材料购进价格,component,45.0,1.1000000000000014,
2015-03-31,M0017135,原材料库存,component,48.0,-0.20000000000000284,
2015-03-31,M0017136,从业人员,component,48.4,0.6000000000000014,
2015-03-31,M0017137,供应商配送时间,component,50.1,0.20000000000000284,
2015-03-31,M0017126,制造业PMI,headline,50.1,0.20000000000000284,
2015-03-31,M5207831,建筑业PMI,headline,58.9,2.3999999999999986,
2015-03-31,M5207838,服务业PMI,headline,52.3,-0.9000000000000057,
2015-04-30,M0017127,生产,component,52.6,0.5,
2015-04-30,M0017128,新订单,component,50.2,0.0,
2015-04-30,M0017129,新出口订单,component,48.1,-0.19999999999999574,
2015-04-30,M0017130,在手订单,component,43.8,-0.30000000000000426,
2015-04-30,M0017131,产成品库存,component,48.0,-0.6000000000000014,
2015-04-30,M0017132,采购量,component,50.1,0.3999999999999986,
2015-04-30,M0017133,进口,component,47.8,-0.30000000000000426,
2015-04-30,M0017134,主要原材料购进价格,component,47.8,2.799999999999997,
2015-04-30,M0017135,原材料库存,component,48.2,0.20000000000000284,
2015-04-30,M0017136,从业人员,component,48.0,-0.3999999999999986,
2015-04-30,M0017137,供应商配送时间,component,50.4,0.29999999999999716,
2015-04-30,M0017126,制造业PMI,headline,50.1,0.0,
2015-04-30,M5207831,建筑业PMI,headline,57.5,-1.3999999999999986,
2015-04-30,M5207838,服务业PMI,headline,52.4,0.10000000000000142,
2015-05-31,M0017127,生产,component,52.9,0.29999999999999716,
2015-05-31,M0017128,新订单,component,50.6,0.3999999999999986,
2015-05-31,M0017129,新出口订单,component,48.9,0.7999999999999972,
2015-05-31,M0017130,在手订单,component,44.7,0.9000000000000057,
2015-05-31,M0017131,产成品库存,component,47.5,-0.5,
2015-05-31,M0017132,采购量,component,51.0,0.8999999999999986,
2015-05-31,M0017133,进口,component,47.6,-0.19999999999999574,
2015-05-31,M0017134,主要原材料购进价格,component,49.4,1.6000000000000014,
2015-05-31,M0017135,原材料库存,component,48.2,0.0,
2015-05-31,M0017136,从业人员,component,48.2,0.20000000000000284,
2015-05-31,M0017137,供应商配送时间,component,50.9,0.5,
2015-05-31,M0017126,制造业PMI,headline,50.2,0.10000000000000142,
2015-05-31,M5207831,建筑业PMI,headline,57.9,0.3999999999999986,
2015-05-31,M5207838,服务业PMI,headline,52.0,-0.3999999999999986,
2015-06-30,M0017127,生产,component,52.9,0.0,
2015-06-30,M0017128,新订单,component,50.1,-0.5,
2015-06-30,M0017129,新出口订单,component,48.2,-0.6999999999999957,
2015-06-30,M0017130,在手订单,component,44.6,-0.10000000000000142,
2015-06-30,M0017131,产成品库存,component,47.7,0.20000000000000284,
2015-06-30,M0017132,采购量,component,50.9,-0.10000000000000142,
2015-06-30,M0017133,进口,component,48.0,0.3999999999999986,
2015-06-30,M0017134,主要原材料购进价格,component,47.3,-2.1000000000000014,
2015-06-30,M0017135,原材料库存,component,48.7,0.5,
2015-06-30,M0017136,从业人员,component,48.1,-0.10000000000000142,
2015-06-30,M0017137,供应商配送时间,component,50.3,-0.6000000000000014,
2015-06-30,M0017126,制造业PMI,headline,50.2,0.0,
2015-06-30,M5207831,建筑业PMI,headline,62.1,4.200000000000003,
2015-06-30,M5207838,服务业PMI,headline,52.3,0.29999999999999716,
2015-07-31,M0017127,生产,component,52.4,-0.5,
2015-07-31,M0017128,新订单,component,49.9,-0.20000000000000284,
2015-07-31,M0017129,新出口订单,component,47.9,-0.30000000000000426,
2015-07-31,M0017130,在手订单,component,44.0,-0.6000000000000014,
2015-07-31,M0017131,产成品库存,component,47.4,-0.30000000000000426,
2015-07-31,M0017132,采购量,component,50.3,-0.6000000000000014,
2015-07-31,M0017133,进口,component,47.8,-0.20000000000000284,
2015-07-31,M0017134,主要原材料购进价格,component,44.7,-2.5999999999999943,
2015-07-31,M0017135,原材料库存,component,48.4,-0.30000000000000426,
2015-07-31,M0017136,从业人员,component,48.0,-0.10000000000000142,
2015-07-31,M0017137,供应商配送时间,component,50.4,0.10000000000000142,
2015-07-31,M0017126,制造业PMI,headline,50.0,-0.20000000000000284,
2015-07-31,M5207831,建筑业PMI,headline,60.1,-2.0,
2015-07-31,M5207838,服务业PMI,headline,52.8,0.5,
2015-08-31,M0017127,生产,component,51.7,-0.6999999999999957,
2015-08-31,M0017128,新订单,component,49.7,-0.19999999999999574,
2015-08-31,M0017129,新出口订单,component,47.7,-0.19999999999999574,
2015-08-31,M0017130,在手订单,component,44.6,0.6000000000000014,
2015-08-31,M0017131,产成品库存,component,47.2,-0.19999999999999574,
2015-08-31,M0017132,采购量,component,49.4,-0.8999999999999986,
2015-08-31,M0017133,进口,component,47.2,-0.5999999999999943,
2015-08-31,M0017134,主要原材料购进价格,component,44.9,0.19999999999999574,
2015-08-31,M0017135,原材料库存,component,48.3,-0.10000000000000142,
2015-08-31,M0017136,从业人员,component,47.9,-0.10000000000000142,
2015-08-31,M0017137,供应商配送时间,component,50.6,0.20000000000000284,
2015-08-31,M0017126,制造业PMI,headline,49.7,-0.29999999999999716,
2015-08-31,M5207831,建筑业PMI,headline,57.8,-2.3000000000000043,
2015-08-31,M5207838,服务业PMI,headline,52.6,-0.19999999999999574,
2015-08-31,M6642295,装备制造业,industry,48.3,,
2015-09-30,M0017127,生产,component,52.3,0.5999999999999943,
2015-09-30,M0017128,新订单,component,50.2,0.5,
2015-09-30,M0017129,新出口订单,component,47.9,0.19999999999999574,
2015-09-30,M0017130,在手订单,component,43.8,-0.8000000000000043,
2015-09-30,M0017131,产成品库存,component,46.8,-0.4000000000000057,
2015-09-30,M0017132,采购量,component,48.6,-0.7999999999999972,
2015-09-30,M0017133,进口,component,48.1,0.8999999999999986,
2015-09-30,M0017134,主要原材料购进价格,component,45.8,0.8999999999999986,
2015-09-30,M0017135,原材料库存,component,47.5,-0.7999999999999972,
2015-09-30,M0017136,从业人员,component,47.9,0.0,
2015-09-30,M0017137,供应商配送时间,component,50.8,0.19999999999999574,
2015-09-30,M0017126,制造业PMI,headline,49.8,0.09999999999999432,
2015-09-30,M5207831,建筑业PMI,headline,55.2,-2.5999999999999943,
2015-09-30,M5207838,服务业PMI,headline,53.0,0.3999999999999986,
2015-09-30,M6642295,装备制造业,industry,50.9,2.6000000000000014,
2015-10-31,M0017127,生产,component,52.2,-0.09999999999999432,
2015-10-31,M0017128,新订单,component,50.3,0.09999999999999432,
2015-10-31,M0017129,新出口订单,component,47.4,-0.5,
2015-10-31,M0017130,在手订单,component,44.4,0.6000000000000014,
2015-10-31,M0017131,产成品库存,component,47.2,0.4000000000000057,
2015-10-31,M0017132,采购量,component,48.8,0.19999999999999574,
2015-10-31,M0017133,进口,component,47.5,-0.6000000000000014,
2015-10-31,M0017134,主要原材料购进价格,component,44.4,-1.3999999999999986,
2015-10-31,M0017135,原材料库存,component,47.2,-0.29999999999999716,
2015-10-31,M0017136,从业人员,component,47.8,-0.10000000000000142,
2015-10-31,M0017137,供应商配送时间,component,50.6,-0.19999999999999574,
2015-10-31,M0017126,制造业PMI,headline,49.8,0.0,
2015-10-31,M5207831,建筑业PMI,headline,57.1,1.8999999999999986,
2015-10-31,M5207838,服务业PMI,headline,52.3,-0.7000000000000028,
2015-11-30,M0017127,生产,component,51.9,-0.30000000000000426,
2015-11-30,M0017128,新订单,component,49.8,-0.5,
2015-11-30,M0017129,新出口订单,component,46.4,-1.0,
2015-11-30,M0017130,在手订单,component,43.0,-1.3999999999999986,
2015-11-30,M0017131,产成品库存,component,46.7,-0.5,
2015-11-30,M0017132,采购量,component,48.3,-0.5,
2015-11-30,M0017133,进口,component,46.7,-0.7999999999999972,
2015-11-30,M0017134,主要原材料购进价格,component,41.1,-3.299999999999997,
