date,up_count,down_count,flat_count,median_pct,mean_pct,amount_100mn
2026-07-24,4912,547,64,2.05,2.2842,12773.69
2026-07-27,2603,2769,153,-0.05,-0.7276,20391.66
2026-07-28,179,17,1,2.16,2.2478,77.45
2026-07-29,158,318,11,-1.21,-2.2167,1369.05
2026-07-30,345,38,2,2.07,2.8351,1164.84
2026-07-31,123,167,6,-0.295,0.7295,122.12
2026-08-04,341,32,13,1.9,2.6846,939.83
2026-08-06,56,41,2,0.24,0.0473,43.46
2026-08-07,165,119,10,0.245,0.5423,166.65
2026-08-12,48,246,1,-1.9,-1.4716,149.02
2026-08-14,71,216,7,-1.14,-0.7105,118.66
