date,index,close,change_pct
2026-07-24,沪深300,4649.19,-1.67
2026-07-24,上证指数,3814.2,-1.61
2026-07-24,中证红利,5404.28,-1.84
2026-07-24,300收益,6952.09,-1.66
2026-07-24,恒生指数,24963.23,-0.982
2026-07-24,恒生科技指数,4629.51,-1.468
2026-07-22,万得全A,20338.89,-0.927
2026-07-23,万得全A,20714.07,1.8446
2026-07-24,万得全A,20164.11,-2.655
2026-07-27,300收益,7031.82,1.15
2026-07-27,恒生指数,25207.182,0.977
2026-07-27,恒生科技指数,4702.05,1.567
2026-07-27,沪深300,4631.78,-1.5
2026-07-27,上证指数,3827.82,-0.79
2026-07-27,中证红利,5395.87,-0.7
2026-07-28,恒生指数,25207.182,0.0
2026-07-28,恒生科技指数,4702.05,0.0
2026-07-28,300收益,6833.9,-2.81
2026-07-28,沪深300,4600.26,0.67
2026-07-28,上证指数,3828.47,0.4
2026-07-28,中证红利,5519.12,1.49
2026-07-29,300收益,6880.4,0.68
2026-07-29,恒生指数,25807.92,1.964
2026-07-29,恒生科技指数,4864.73,2.835
2026-07-29,沪深300,4549.72,-1.1
2026-07-29,上证指数,3804.69,-0.62
2026-07-29,中证红利,5579.6,1.1
2026-07-30,300收益,6806.04,-1.08
2026-07-30,恒生指数,25858.881,0.197
2026-07-30,恒生科技指数,4803.77,-1.253
2026-07-31,300收益,6866.0,0.88
2026-07-31,恒生指数,25884.43,0.099
2026-07-31,恒生科技指数,4829.22,0.53
2026-07-31,沪深300,4588.2,0.85
2026-07-31,上证指数,3832.26,0.72
2026-07-31,中证红利,5569.41,-0.18
2026-08-03,300收益,6799.37,-0.97
2026-08-03,恒生指数,26009.4,0.483
2026-08-03,恒生科技指数,4875.61,0.961
2026-08-03,沪深300,4600.93,1.27
2026-08-03,上证指数,3822.28,0.33
2026-08-03,中证红利,5459.34,-1.62
2026-08-04,300收益,6885.8,1.27
2026-08-04,恒生指数,25852.92,-0.602
2026-08-04,恒生科技指数,4885.61,0.205
2026-08-04,沪深300,4658.15,1.24
2026-08-04,上证指数,3878.43,1.47
2026-08-04,中证红利,5447.98,-0.21
2026-08-05,300收益,6971.44,1.24
2026-08-05,恒生指数,25915.82,0.243
2026-08-05,恒生科技指数,4933.07,0.971
2026-08-06,沪深300,4683.53,0.69
2026-08-06,上证指数,3909.56,0.24
2026-08-06,中证红利,5485.21,-0.52
2026-08-06,300收益,6961.2,-0.15
2026-08-07,恒生指数,25454.301,-0.298
2026-08-07,恒生科技指数,4793.91,-0.557
2026-08-07,300收益,7027.38,0.95
2026-08-07,沪深300,4702.02,0.16
2026-08-07,上证指数,3966.59,0.67
2026-08-07,中证红利,5561.23,0.99
2026-08-10,300收益,7039.72,0.18
2026-08-10,恒生指数,25954.42,1.116
2026-08-10,恒生科技指数,4924.72,1.367
2026-08-11,300收益,6983.35,-0.8
2026-08-11,恒生指数,25652.818,-1.098
2026-08-11,恒生科技指数,4824.42,-1.932
2026-08-11,沪深300,4690.92,0.58
2026-08-11,上证指数,3946.68,0.32
2026-08-11,中证红利,5513.68,-0.32
2026-08-12,恒生指数,25440.17,-0.829
2026-08-12,恒生科技指数,4776.44,-0.995
2026-08-12,沪深300,4663.95,-0.57
2026-08-12,上证指数,3926.96,-0.5
2026-08-12,中证红利,5464.42,-0.89
2026-08-13,300收益,6984.85,-0.56
2026-08-13,恒生指数,25396.51,-0.172
2026-08-13,恒生科技指数,4792.39,0.334
2026-08-13,沪深300,4665.88,0.04
2026-08-13,上证指数,3927.18,0.01
2026-08-13,中证红利,5478.39,0.26
2026-08-14,300收益,6988.12,0.05
2026-08-14,恒生指数,25116.85,-1.101
2026-08-14,恒生科技指数,4707.62,-1.769
2026-08-14,沪深300,4665.88,0.04
2026-08-14,上证指数,3927.18,0.01
2026-08-14,中证红利,5478.39,0.26
2026-08-17,300收益,7100.77,1.61
2026-08-17,恒生指数,25453.23,1.339
2026-08-17,恒生科技指数,4782.03,1.581
2026-08-18,300收益,7077.88,-0.32
2026-08-18,恒生指数,25471.15,0.07
2026-08-18,恒生科技指数,4739.18,-0.896
2026-08-18,沪深300,4588.7,-2.9
2026-08-18,上证指数,3894.42,-2.4
2026-08-18,中证红利,5553.33,0.33
2026-08-19,300收益,6873.44,-2.89
2026-08-19,恒生指数,25495.07,0.094
2026-08-19,恒生科技指数,4682.05,-1.205
2026-08-19,沪深300,4592.75,0.09
2026-08-19,上证指数,3903.72,0.24
2026-08-19,中证红利,5585.1,0.57
2026-08-20,300收益,6879.65,0.09
2026-08-20,恒生指数,25698.49,0.798
2026-08-20,恒生科技指数,4700.53,0.395
2026-08-21,300收益,6922.19,0.62
2026-08-21,恒生指数,26009.459,1.21
2026-08-21,恒生科技指数,4766.16,1.396
2026-08-21,沪深300,4618.9,0.57
2026-08-21,上证指数,3905.2,0.04
2026-08-21,中证红利,5579.34,-0.1
2026-08-24,恒生指数,25517.33,-1.892
2026-08-24,恒生科技指数,4594.04,-3.611
2026-08-24,沪深300,4552.03,-0.24
2026-08-24,上证指数,3889.44,0.19
2026-08-24,中证红利,5619.16,-0.61
2026-08-25,300收益,6822.16,-0.24
2026-08-25,恒生指数,25511.102,-0.024
2026-08-25,恒生科技指数,4588.54,-0.12
2026-08-26,沪深300,4595.49,0.1
2026-08-26,上证指数,3919.86,0.19
2026-08-26,中证红利,5614.03,-0.79
2026-08-26,300收益,6880.36,0.85
2026-08-27,恒生指数,25580.641,-0.282
2026-08-27,恒生科技指数,4635.93,0.211
2026-08-27,沪深300,4617.04,-0.29
2026-08-27,上证指数,3959.1,0.06
2026-08-27,中证红利,5694.52,0.33
2026-08-27,300收益,6941.92,0.89
2026-08-28,恒生指数,25627.939,0.243
2026-08-28,恒生科技指数,4622.24,0.042
