date,southbound_net_buy_100mn,southbound_buy_100mn,southbound_sell_100mn,southbound_cumulative_net_buy_trillion,sh_connect_net_buy_100mn,sz_connect_net_buy_100mn,h50069_close,rolling_15d_net_buy_100mn
2024-01-02,35.004,,,,23.18,11.824,2402.8448,
2024-01-03,62.1426,,,,35.75,26.3926,2388.8926,
2024-01-04,19.5867,,,,16.15,3.4367,2384.166,
2024-01-05,14.6487,,,,11.46,3.1887,2367.5073,
2024-01-08,-13.0989,,,,-2.67,-10.4289,2324.9249,
2024-01-09,-36.9006,,,,-14.3,-22.6006,2323.8634,
2024-01-10,23.4492,,,,14.25,9.1992,2312.8068,
2024-01-11,-49.577,,,,-18.28,-31.297,2336.3895,
2024-01-12,13.3938,,,,7.95,5.4438,2329.1427,
2024-01-15,38.6312,,,,22.13,16.5012,2328.8578,
2024-01-16,26.8364,,,,22.0,4.8364,2282.5983,
2024-01-17,54.2371,,,,36.44,17.7971,2196.5936,
2024-01-18,5.2824,,,,7.7,-2.4176,2210.7896,
2024-01-19,9.3748,,,,10.15,-0.7752,2192.3591,
2024-01-22,5.919,,,,9.72,-3.801,2132.3244,208.9294
2024-01-23,-48.5916,,,,-22.54,-26.0516,2184.789,125.33380000000001
2024-01-24,18.0193,,,,15.56,2.4593,2255.0329,81.2105
2024-01-25,16.6259,,,,5.02,11.6059,2300.1295,78.2497
2024-01-26,48.6396,,,,28.82,19.8196,2263.1366,112.2406
2024-01-29,-23.7398,,,,-12.23,-11.5098,2274.6569,101.59970000000001
2024-01-30,-7.8992,,,,-0.85,-7.0492,2220.5467,130.6011
2024-01-31,-5.8278,,,,2.72,-8.5478,2191.3666,101.3241
2024-02-01,-12.3299,,,,-1.32,-11.0099,2199.9996,138.57119999999998
2024-02-02,-36.4964,,,,-11.97,-24.5264,2197.7622,88.681
2024-02-05,35.6734,,,,21.85,13.8234,2190.1164,85.72319999999999
2024-02-06,-63.0493,,,,-27.63,-35.4193,2269.7093,-4.162500000000001
2024-02-07,21.351,,,,23.64,-2.289,2270.1074,-37.0486
2024-02-08,41.9387,,,,27.17,14.7687,2257.5049,-0.39230000000000587
2024-02-19,38.8543,,,,31.45,7.4043,2288.9997,29.0872
2024-02-20,31.6124,,,,27.08,4.5324,2304.9377,54.7806
2024-02-21,9.8877,,,,5.97,3.9177,2339.5952,113.25989999999999
2024-02-22,43.6903,,,,20.11,23.5803,2372.3448,138.9309
2024-02-23,58.9032,,,,34.95,23.9532,2371.7652,181.2082
