date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2025-01-02,,,588000
2025-01-03,11.434752,,
2025-01-06,4.185162,,
2025-01-07,-17.4518955,,
2025-01-08,-3.938499,,
2025-01-09,-6.3456975,,
2025-01-10,-10.434501,,
2025-01-13,4.706676,-17.844003,
2025-01-14,-6.06528,-35.344035,
2025-01-15,-6.320124,-45.849320999999996,
2025-01-16,16.131555,-12.265870499999998,
2025-01-17,-5.373459,-13.700830499999999,
2025-01-20,-0.506286,-7.861418999999999,
2025-01-21,-10.574982,-8.0019,
2025-01-22,-1.0653255000000001,-13.773901500000001,
2025-01-23,9.403965000000001,1.6953435,
2025-01-24,-5.09256,2.9229075,
2025-01-27,12.431106,-0.7775414999999981,
2025-02-05,-30.259332,-25.6634145,
2025-02-06,-22.295664,-47.4527925,
2025-02-07,-11.5670025,-48.444812999999996,
2025-02-10,-20.631141,-68.0106285,
2025-02-11,2.335176,-75.07941749999999,
2025-02-12,-18.006534,-87.99339149999999,
2025-02-13,7.442127,-92.9823705,
2025-02-14,-5.82498,-68.5480185,
2025-02-17,-13.68594,-59.93829449999999,
2025-02-18,8.212104,-40.159188,
2025-02-19,-23.251734,-42.779781,
2025-02-20,-5.2517205,-50.366677499999994,
2025-02-21,-48.744108,-81.1042515,
2025-02-24,-1.0441799999999999,-89.5905585,
2025-02-25,-8.681633999999999,-92.4472125,
2025-02-26,-14.097996,-92.8592685,
2025-02-27,6.775704,-94.29566849999999,
2025-02-28,3.886488,-67.15744649999999,
2025-03-03,1.612224,-60.293502,
2025-03-04,-9.321038999999999,-20.870433,
2025-03-05,0.462429,-19.363823999999997,
2025-03-06,-24.771861,-35.454051,
2025-03-07,17.058600000000002,-4.297454999999996,
2025-03-10,2.984121,-8.089037999999997,
2025-03-11,9.801756000000001,-2.1737699999999975,
2025-03-12,1.2419999999999998,-2.543993999999997,
2025-03-13,7.243236,14.020281,
2025-03-14,2.3188275,15.876679500000002,
2025-03-17,3.3345,43.9830405,
2025-03-18,1.3925115,28.316952,
