date,index_name,pe_ttm
2020-01-02,万得全A,17.76
2020-01-03,万得全A,17.7786
2020-01-06,万得全A,17.7985
2020-01-07,万得全A,17.9422
2020-01-08,万得全A,17.7211
2020-01-09,万得全A,17.9204
2020-01-10,万得全A,17.9167
2020-01-13,万得全A,18.0961
2020-01-14,万得全A,18.0571
2020-01-15,万得全A,17.9797
2020-01-16,万得全A,17.9156
2020-01-17,万得全A,17.9245
2020-01-20,万得全A,18.068
2020-01-21,万得全A,17.8194
2020-01-22,万得全A,17.9267
2020-01-23,万得全A,17.3833
2020-02-03,万得全A,15.9801
2020-02-04,万得全A,16.2665
2020-02-05,万得全A,16.49
2020-02-06,万得全A,16.8349
2020-02-07,万得全A,16.959
2020-02-10,万得全A,17.0919
2020-02-11,万得全A,17.1446
2020-02-12,万得全A,17.3479
2020-02-13,万得全A,17.2267
2020-02-14,万得全A,17.2993
2020-02-17,万得全A,17.7456
2020-02-18,万得全A,17.8194
2020-02-19,万得全A,17.7483
2020-02-20,万得全A,18.0801
2020-02-21,万得全A,18.2317
2020-02-24,万得全A,18.2904
2020-02-25,万得全A,18.2353
2020-02-26,万得全A,17.9276
2020-02-27,万得全A,17.9156
2020-02-28,万得全A,17.0822
2020-03-02,万得全A,17.6569
2020-03-03,万得全A,17.7719
2020-03-04,万得全A,17.8554
2020-03-05,万得全A,18.1902
2020-03-06,万得全A,18.0049
2020-03-09,万得全A,17.409
2020-03-10,万得全A,17.7606
2020-03-11,万得全A,17.5552
2020-03-12,万得全A,17.2614
2020-03-13,万得全A,17.0641
2020-03-16,万得全A,16.4352
2020-03-17,万得全A,16.3819
2020-03-18,万得全A,16.0959
2020-03-19,万得全A,16.0073
2020-03-20,万得全A,16.2367
2020-03-23,万得全A,15.6442
2020-03-24,万得全A,15.995
2020-03-25,万得全A,16.3837
2020-03-26,万得全A,16.2266
2020-03-27,万得全A,16.2111
2020-03-30,万得全A,15.9
2020-03-31,万得全A,15.8935
2020-04-01,万得全A,15.8511
2020-04-02,万得全A,16.1491
2020-04-03,万得全A,16.0311
2020-04-07,万得全A,16.4405
2020-04-08,万得全A,16.4164
2020-04-09,万得全A,16.507
2020-04-10,万得全A,16.2897
2020-04-13,万得全A,16.1848
2020-04-14,万得全A,16.4758
2020-04-15,万得全A,16.6115
2020-04-16,万得全A,16.6557
2020-04-17,万得全A,16.7477
2020-04-20,万得全A,16.8773
2020-04-21,万得全A,16.7379
2020-04-22,万得全A,16.8445
2020-04-23,万得全A,16.7877
2020-04-24,万得全A,16.7228
2020-04-27,万得全A,16.8213
2020-04-28,万得全A,16.857
2020-04-29,万得全A,17.097
2020-04-30,万得全A,18.3614
2020-05-06,万得全A,18.5406
2020-05-07,万得全A,18.5092
2020-05-08,万得全A,18.685
2020-05-11,万得全A,18.6727
2020-05-12,万得全A,18.6818
2020-05-13,万得全A,18.7532
2020-05-14,万得全A,18.5772
2020-05-15,万得全A,18.4979
2020-05-18,万得全A,18.4965
2020-05-19,万得全A,18.7007
2020-05-20,万得全A,18.5785
2020-05-21,万得全A,18.439
2020-05-22,万得全A,17.8504
2020-05-25,万得全A,17.8503
2020-05-26,万得全A,18.1312
2020-05-27,万得全A,18.0359
2020-05-28,万得全A,18.056
2020-05-29,万得全A,18.1102
2020-06-01,万得全A,18.5885
2020-06-02,万得全A,18.6297
2020-06-03,万得全A,18.6422
2020-06-04,万得全A,18.6417
2020-06-05,万得全A,18.7625
2020-06-08,万得全A,18.7915
2020-06-09,万得全A,18.9068
2020-06-10,万得全A,18.8709
2020-06-11,万得全A,18.7538
2020-06-12,万得全A,18.7759
2020-06-15,万得全A,18.6382
2020-06-16,万得全A,18.9329
2020-06-17,万得全A,18.9795
2020-06-18,万得全A,19.014
2020-06-19,万得全A,19.2112
2020-06-22,万得全A,19.2543
2020-06-23,万得全A,19.3346
2020-06-24,万得全A,19.4012
2020-06-29,万得全A,19.2963
2020-06-30,万得全A,19.6231
2020-07-01,万得全A,19.8422
2020-07-02,万得全A,20.2071
2020-07-03,万得全A,20.5641
2020-07-06,万得全A,21.64
2020-07-07,万得全A,21.8444
2020-07-08,万得全A,22.2399
2020-07-09,万得全A,22.6326
2020-07-10,万得全A,22.2435
2020-07-13,万得全A,22.814
2020-07-14,万得全A,22.6181
2020-07-15,万得全A,22.1716
2020-07-16,万得全A,21.1123
2020-07-17,万得全A,21.1662
2020-07-20,万得全A,21.7283
2020-07-21,万得全A,21.7501
2020-07-22,万得全A,21.8755
2020-07-23,万得全A,21.839
2020-07-24,万得全A,20.8871
2020-07-27,万得全A,20.9205
2020-07-28,万得全A,21.1132
2020-07-29,万得全A,21.6625
2020-07-30,万得全A,21.71
2020-07-31,万得全A,21.9381
2020-08-03,万得全A,22.4399
2020-08-04,万得全A,22.4177
2020-08-05,万得全A,22.545
2020-08-06,万得全A,22.5211
2020-08-07,万得全A,22.2521
2020-08-10,万得全A,22.3577
2020-08-11,万得全A,22.0393
2020-08-12,万得全A,21.8417
2020-08-13,万得全A,21.8347
2020-08-14,万得全A,22.1206
2020-08-17,万得全A,22.6036
2020-08-18,万得全A,22.6414
2020-08-19,万得全A,22.2586
2020-08-20,万得全A,21.9681
2020-08-21,万得全A,22.1146
2020-08-24,万得全A,22.2662
2020-08-25,万得全A,22.1199
2020-08-26,万得全A,21.7688
2020-08-27,万得全A,21.924
2020-08-28,万得全A,22.6973
2020-08-31,万得全A,23.6175
2020-09-01,万得全A,23.7526
2020-09-02,万得全A,23.7615
2020-09-03,万得全A,23.6122
2020-09-04,万得全A,23.4578
2020-09-07,万得全A,23.0267
2020-09-08,万得全A,23.1701
2020-09-09,万得全A,22.6181
2020-09-10,万得全A,22.3375
2020-09-11,万得全A,22.6048
2020-09-14,万得全A,22.785
2020-09-15,万得全A,22.9289
2020-09-16,万得全A,22.8017
2020-09-17,万得全A,22.7905
2020-09-18,万得全A,23.2097
2020-09-21,万得全A,23.0734
2020-09-22,万得全A,22.8112
2020-09-23,万得全A,22.9177
2020-09-24,万得全A,22.464
2020-09-25,万得全A,22.4236
2020-09-28,万得全A,22.337
2020-09-29,万得全A,22.4615
2020-09-30,万得全A,22.4496
2020-10-09,万得全A,22.9602
2020-10-12,万得全A,23.6446
2020-10-13,万得全A,23.7057
2020-10-14,万得全A,23.5717
2020-10-15,万得全A,23.4712
2020-10-16,万得全A,23.4695
2020-10-19,万得全A,23.3326
2020-10-20,万得全A,23.4258
2020-10-21,万得全A,23.3126
2020-10-22,万得全A,23.1981
2020-10-23,万得全A,22.8365
2020-10-26,万得全A,22.7497
2020-10-27,万得全A,22.7395
2020-10-28,万得全A,22.6897
2020-10-29,万得全A,22.4534
2020-10-30,万得全A,21.7282
2020-11-02,万得全A,21.7715
2020-11-03,万得全A,22.0923
2020-11-04,万得全A,22.1457
2020-11-05,万得全A,22.4922
2020-11-06,万得全A,22.3987
2020-11-09,万得全A,22.8633
2020-11-10,万得全A,22.6944
2020-11-11,万得全A,22.4409
2020-11-12,万得全A,22.4545
2020-11-13,万得全A,22.3259
2020-11-16,万得全A,22.5932
2020-11-17,万得全A,22.4896
2020-11-18,万得全A,22.5065
2020-11-19,万得全A,22.6201
2020-11-20,万得全A,22.7338
2020-11-23,万得全A,22.9425
2020-11-24,万得全A,22.8691
2020-11-25,万得全A,22.5849
2020-11-26,万得全A,22.5884
2020-11-27,万得全A,22.7917
2020-11-30,万得全A,22.7307
2020-12-01,万得全A,23.1305
2020-12-02,万得全A,23.1476
2020-12-03,万得全A,23.1085
2020-12-04,万得全A,23.1428
2020-12-07,万得全A,23.004
2020-12-08,万得全A,22.9736
2020-12-09,万得全A,22.6468
2020-12-10,万得全A,22.6536
2020-12-11,万得全A,22.4297
2020-12-14,万得全A,22.6123
2020-12-15,万得全A,22.6242
2020-12-16,万得全A,22.5853
2020-12-17,万得全A,22.8128
2020-12-18,万得全A,22.7402
2020-12-21,万得全A,23.0102
2020-12-22,万得全A,22.5848
2020-12-23,万得全A,22.7764
2020-12-24,万得全A,22.5932
2020-12-25,万得全A,22.7917
2020-12-28,万得全A,22.7842
2020-12-29,万得全A,22.6587
2020-12-30,万得全A,22.9327
2020-12-31,万得全A,23.3577
2021-01-04,万得全A,23.6799
2021-01-05,万得全A,23.9134
2021-01-06,万得全A,24.0022
2021-01-07,万得全A,24.1147
2021-01-08,万得全A,24.0738
2021-01-11,万得全A,23.7432
2021-01-12,万得全A,24.2254
2021-01-13,万得全A,24.0756
2021-01-14,万得全A,23.8377
2021-01-15,万得全A,23.8402
2021-01-18,万得全A,24.089
2021-01-19,万得全A,23.9064
2021-01-20,万得全A,24.0859
2021-01-21,万得全A,24.3729
2021-01-22,万得全A,24.3082
2021-01-25,万得全A,24.3645
2021-01-26,万得全A,23.9564
2021-01-27,万得全A,23.992
2021-01-28,万得全A,23.4127
2021-01-29,万得全A,23.2463
2021-02-01,万得全A,23.4751
2021-02-02,万得全A,23.7133
2021-02-03,万得全A,23.544
2021-02-04,万得全A,23.2404
2021-02-05,万得全A,23.1471
2021-02-08,万得全A,23.3862
2021-02-09,万得全A,23.8664
2021-02-10,万得全A,24.2469
2021-02-18,万得全A,24.3101
2021-02-19,万得全A,24.4708
2021-02-22,万得全A,24.1398
2021-02-23,万得全A,24.0319
2021-02-24,万得全A,23.5542
2021-02-25,万得全A,23.569
2021-02-26,万得全A,23.069
2021-03-01,万得全A,23.4178
2021-03-02,万得全A,23.1555
2021-03-03,万得全A,23.5766
2021-03-04,万得全A,23.0332
2021-03-05,万得全A,23.0439
2021-03-08,万得全A,22.3818
2021-03-09,万得全A,21.8689
2021-03-10,万得全A,21.8474
2021-03-11,万得全A,22.346
2021-03-12,万得全A,22.4073
2021-03-15,万得全A,22.0811
2021-03-16,万得全A,22.2419
2021-03-17,万得全A,22.3033
2021-03-18,万得全A,22.4145
2021-03-19,万得全A,22.0179
2021-03-22,万得全A,22.2665
2021-03-23,万得全A,22.0372
2021-03-24,万得全A,21.7268
2021-03-25,万得全A,21.6604
2021-03-26,万得全A,22.0226
2021-03-29,万得全A,21.7688
2021-03-30,万得全A,21.8009
2021-03-31,万得全A,21.4877
2021-04-01,万得全A,21.6577
2021-04-02,万得全A,21.8012
2021-04-06,万得全A,21.8226
2021-04-07,万得全A,21.776
2021-04-08,万得全A,21.8369
2021-04-09,万得全A,21.6426
2021-04-12,万得全A,21.2483
2021-04-13,万得全A,21.1328
2021-04-14,万得全A,21.3357
2021-04-15,万得全A,20.9105
2021-04-16,万得全A,21.0311
2021-04-19,万得全A,21.4214
2021-04-20,万得全A,21.3199
2021-04-21,万得全A,21.3007
2021-04-22,万得全A,21.2316
2021-04-23,万得全A,21.2333
2021-04-26,万得全A,20.9301
2021-04-27,万得全A,20.7119
2021-04-28,万得全A,20.6661
2021-04-29,万得全A,20.1902
2021-04-30,万得全A,19.6364
2021-05-06,万得全A,19.5311
2021-05-07,万得全A,19.3387
2021-05-10,万得全A,19.3961
2021-05-11,万得全A,19.4625
2021-05-12,万得全A,19.605
2021-05-13,万得全A,19.4457
2021-05-14,万得全A,19.7779
2021-05-17,万得全A,19.9595
2021-05-18,万得全A,20.0129
2021-05-19,万得全A,19.9741
2021-05-20,万得全A,19.9761
2021-05-21,万得全A,19.8815
2021-05-24,万得全A,19.9865
2021-05-25,万得全A,20.4251
2021-05-26,万得全A,20.4615
2021-05-27,万得全A,20.5835
2021-05-28,万得全A,20.5392
2021-05-31,万得全A,20.6762
2021-06-01,万得全A,20.7476
2021-06-02,万得全A,20.5608
2021-06-03,万得全A,20.4829
2021-06-04,万得全A,20.5616
2021-06-07,万得全A,20.6151
2021-06-08,万得全A,20.49
2021-06-09,万得全A,20.5269
2021-06-10,万得全A,20.6945
2021-06-11,万得全A,20.5942
2021-06-15,万得全A,20.4159
2021-06-16,万得全A,20.1014
2021-06-17,万得全A,20.2384
2021-06-18,万得全A,20.3152
2021-06-21,万得全A,20.3907
2021-06-22,万得全A,20.5271
2021-06-23,万得全A,20.6376
2021-06-24,万得全A,20.5855
2021-06-25,万得全A,20.8466
2021-06-28,万得全A,20.9126
