code,name,symbol
000001,平安银行,sz000001
000002,万  科Ａ,sz000002
000006,深振业Ａ,sz000006
000007,全新好,sz000007
000008,神州高铁,sz000008
000009,中国宝安,sz000009
000010,*ST美丽,sz000010
000011,深物业A,sz000011
000012,南  玻Ａ,sz000012
000014,沙河股份,sz000014
000016,*ST康佳A,sz000016
000017,深中华A,sz000017
000019,深粮控股,sz000019
000020,深华发Ａ,sz000020
000021,深科技,sz000021
000025,特  力Ａ,sz000025
000026,飞亚达,sz000026
000027,深圳能源,sz000027
000028,国药一致,sz000028
000029,深深房Ａ,sz000029
000030,富奥股份,sz000030
000031,大悦城,sz000031
000032,深桑达Ａ,sz000032
000034,神州数码,sz000034
000035,中国天楹,sz000035
000036,华联控股,sz000036
000037,深南电A,sz000037
000039,中集集团,sz000039
000042,中洲控股,sz000042
000045,深纺织Ａ,sz000045
000048,京基智农,sz000048
000049,德赛电池,sz000049
000050,深天马Ａ,sz000050
000055,方大集团,sz000055
000056,*ST皇庭,sz000056
000058,深 赛 格,sz000058
000059,华锦股份,sz000059
000060,中金岭南,sz000060
000061,农 产 品,sz000061
000062,深圳华强,sz000062
000063,中兴通讯,sz000063
000065,北方国际,sz000065
000066,中国长城,sz000066
000068,华控赛格,sz000068
000069,华侨城Ａ,sz000069
000070,特发信息,sz000070
000078,ST海王,sz000078
000088,盐 田 港,sz000088
000089,深圳机场,sz000089
000090,天健集团,sz000090
000096,广聚能源,sz000096
000099,中信海直,sz000099
000100,TCL科技,sz000100
000151,中成股份,sz000151
000153,丰原药业,sz000153
000155,川能动力,sz000155
000156,华数传媒,sz000156
000157,中联重科,sz000157
000158,常山北明,sz000158
000159,国际实业,sz000159
000166,申万宏源,sz000166
000301,东方盛虹,sz000301
000333,美的集团,sz000333
000338,潍柴动力,sz000338
000400,许继电气,sz000400
000401,金隅冀东,sz000401
000402,金 融 街,sz000402
000403,派林生物,sz000403
000404,长虹华意,sz000404
000407,胜利股份,sz000407
000408,藏格矿业,sz000408
000409,云鼎科技,sz000409
000410,沈阳机床,sz000410
000411,英特集团,sz000411
000415,渤海租赁,sz000415
000417,合百集团,sz000417
000419,通程控股,sz000419
000420,吉林化纤,sz000420
000421,南京公用,sz000421
000422,湖北宜化,sz000422
000423,东阿阿胶,sz000423
000425,徐工机械,sz000425
000426,兴业银锡,sz000426
000428,华天酒店,sz000428
000429,粤高速Ａ,sz000429
000430,张家界,sz000430
000488,ST晨鸣,sz000488
000498,山东路桥,sz000498
000501,武商集团,sz000501
000503,国新健康,sz000503
000504,南华生物,sz000504
000505,京粮控股,sz000505
000506,招金黄金,sz000506
000507,珠海港,sz000507
000509,华塑控股,sz000509
000510,新金路,sz000510
000513,丽珠集团,sz000513
000514,渝 开 发,sz000514
000516,国际医学,sz000516
000517,荣安地产,sz000517
000518,四环生物,sz000518
000519,中兵红箭,sz000519
000520,凤凰航运,sz000520
000521,长虹美菱,sz000521
000523,红棉股份,sz000523
000524,岭南控股,sz000524
000525,红太阳,sz000525
000526,学大教育,sz000526
000528,柳    工,sz000528
000529,广弘控股,sz000529
000530,冰山冷热,sz000530
000531,穗恒运Ａ,sz000531
000532,华金资本,sz000532
000533,顺钠股份,sz000533
000534,万泽股份,sz000534
000536,华映科技,sz000536
000537,绿发电力,sz000537
000538,云南白药,sz000538
000539,粤电力Ａ,sz000539
000541,佛山照明,sz000541
000543,皖能电力,sz000543
000544,中原环保,sz000544
000545,金浦钛业,sz000545
000546,金圆股份,sz000546
000547,航天发展,sz000547
000548,湖南投资,sz000548
000550,江铃汽车,sz000550
000551,创元科技,sz000551
000552,甘肃能化,sz000552
000553,安道麦A,sz000553
000554,泰山石油,sz000554
000555,神州信息,sz000555
000557,西部创业,sz000557
000558,天府文旅,sz000558
000559,万向钱潮,sz000559
000560,我爱我家,sz000560
000561,烽火电子,sz000561
000563,陕国投Ａ,sz000563
000564,供销大集,sz000564
000565,渝三峡Ａ,sz000565
000566,海南海药,sz000566
000567,海德股份,sz000567
000568,泸州老窖,sz000568
000570,苏常柴Ａ,sz000570
000571,新大洲A,sz000571
000572,海马汽车,sz000572
000573,粤宏远Ａ,sz000573
000576,甘化科工,sz000576
000581,威孚高科,sz000581
000582,北部湾港,sz000582
000586,汇源通信,sz000586
000589,贵州轮胎,sz000589
000590,古汉医药,sz000590
000591,太阳能,sz000591
000592,平潭发展,sz000592
000593,德龙汇能,sz000593
000595,新能股份,sz000595
000596,古井贡酒,sz000596
000597,东北制药,sz000597
000598,兴蓉环境,sz000598
000599,青岛双星,sz000599
000600,建投能源,sz000600
000601,韶能股份,sz000601
000603,盛达资源,sz000603
000605,渤海股份,sz000605
000607,华媒控股,sz000607
000608,阳光股份,sz000608
000609,*ST中迪,sz000609
000610,*ST西旅,sz000610
000612,焦作万方,sz000612
000615,*ST美谷,sz000615
000617,中油资本,sz000617
000619,海螺新材,sz000619
000620,盈新发展,sz000620
000623,吉林敖东,sz000623
000625,长安汽车,sz000625
000626,远大控股,sz000626
000628,高新发展,sz000628
000629,钒钛股份,sz000629
000630,铜陵有色,sz000630
000631,顺发恒能,sz000631
000632,ST三木,sz000632
000633,合金投资,sz000633
000635,英 力 特,sz000635
000636,风华高科,sz000636
000637,茂化实华,sz000637
000639,ST西王,sz000639
000650,仁和药业,sz000650
000651,格力电器,sz000651
000652,泰达股份,sz000652
000655,金岭矿业,sz000655
000656,金科股份,sz000656
000657,中钨高新,sz000657
000659,珠海中富,sz000659
000661,长春高新,sz000661
000663,永安林业,sz000663
000665,湖北广电,sz000665
000668,荣丰控股,sz000668
000669,ST金鸿,sz000669
000670,盈方微,sz000670
000672,上峰材料,sz000672
000676,智度股份,sz000676
000677,ST海龙,sz000677
000678,襄阳轴承,sz000678
000679,大连友谊,sz000679
000680,山推股份,sz000680
000681,视觉中国,sz000681
000682,东方电子,sz000682
000683,博源化工,sz000683
000685,中山公用,sz000685
000686,东北证券,sz000686
000688,国城矿业,sz000688
000690,宝新能源,sz000690
000691,亚太实业,sz000691
000692,惠天热电,sz000692
000695,滨海能源,sz000695
000697,炼石航空,sz000697
000698,ST沈化,sz000698
000700,模塑科技,sz000700
000701,厦门信达,sz000701
000702,正虹科技,sz000702
000703,恒逸石化,sz000703
000705,浙江震元,sz000705
000707,双环科技,sz000707
000708,中信特钢,sz000708
000709,河钢股份,sz000709
000710,贝瑞基因,sz000710
000711,ST京蓝,sz000711
000712,锦龙股份,sz000712
000713,国投丰乐,sz000713
000715,中兴商业,sz000715
000716,黑芝麻,sz000716
000717,中南股份,sz000717
000718,苏宁环球,sz000718
000719,中原传媒,sz000719
000720,新能泰山,sz000720
000721,西安饮食,sz000721
000722,湖南发展,sz000722
000723,美锦能源,sz000723
000725,京东方Ａ,sz000725
000726,鲁  泰Ａ,sz000726
000727,冠捷科技,sz000727
000728,国元证券,sz000728
000729,燕京啤酒,sz000729
000731,四川美丰,sz000731
000733,振华科技,sz000733
000735,罗 牛 山,sz000735
000736,中交发展,sz000736
000737,北方铜业,sz000737
000738,航发控制,sz000738
000739,普洛药业,sz000739
000750,国海证券,sz000750
000751,锌业股份,sz000751
000752,*ST西发,sz000752
000753,漳州发展,sz000753
000755,山西高速,sz000755
000756,新华制药,sz000756
000757,浩物股份,sz000757
000758,中色股份,sz000758
000759,中百集团,sz000759
000761,本钢板材,sz000761
000762,西藏矿业,sz000762
000766,通化金马,sz000766
000767,晋控电力,sz000767
000768,中航西飞,sz000768
000776,广发证券,sz000776
000777,中核科技,sz000777
000778,新兴铸管,sz000778
000779,甘咨询,sz000779
000782,恒申新材,sz000782
000783,长江证券,sz000783
000785,居然智家,sz000785
000786,北新建材,sz000786
000788,北大医药,sz000788
000789,万年青,sz000789
000790,华神科技,sz000790
000791,甘肃能源,sz000791
000792,盐湖股份,sz000792
000793,*ST华闻,sz000793
000795,英洛华,sz000795
000796,凯撒旅业,sz000796
000797,中国武夷,sz000797
000798,中水渔业,sz000798
000799,酒鬼酒,sz000799
000800,一汽解放,sz000800
000801,四川九洲,sz000801
000802,北京文化,sz000802
000803,山高环能,sz000803
000807,云铝股份,sz000807
000809,和展能源,sz000809
000810,创维数字,sz000810
000811,冰轮环境,sz000811
000812,陕西金叶,sz000812
000813,德展健康,sz000813
000815,美利云,sz000815
000816,智慧农业,sz000816
000818,航锦科技,sz000818
000819,岳阳兴长,sz000819
000820,*ST节能,sz000820
000821,ST京机,sz000821
000822,山东海化,sz000822
000823,超声电子,sz000823
000825,太钢不锈,sz000825
000826,*ST启环,sz000826
000828,东莞控股,sz000828
000829,天音控股,sz000829
000830,鲁西化工,sz000830
000831,中国稀土,sz000831
000833,粤桂股份,sz000833
000837,秦川机床,sz000837
000838,*ST发展,sz000838
000839,国安股份,sz000839
000848,承德露露,sz000848
000850,华茂股份,sz000850
000852,石化机械,sz000852
000856,冀东装备,sz000856
000858,五 粮 液,sz000858
000859,国风新材,sz000859
000860,顺鑫农业,sz000860
000862,银星能源,sz000862
000863,三湘印象,sz000863
000868,安凯客车,sz000868
000869,张  裕Ａ,sz000869
000875,电投绿能,sz000875
000876,新 希 望,sz000876
000877,天山股份,sz000877
000878,云南铜业,sz000878
000880,潍柴重机,sz000880
000881,中广核技,sz000881
000882,华联股份,sz000882
000883,湖北能源,sz000883
000885,城发环境,sz000885
000886,海南高速,sz000886
000887,中鼎股份,sz000887
000888,峨眉山Ａ,sz000888
000889,中嘉博创,sz000889
000890,法尔胜,sz000890
000892,欢瑞世纪,sz000892
000893,亚钾国际,sz000893
000895,双汇发展,sz000895
000897,津滨发展,sz000897
000898,鞍钢股份,sz000898
000899,赣能股份,sz000899
000900,现代投资,sz000900
000901,航天科技,sz000901
000902,新洋丰,sz000902
000903,ST云动,sz000903
000905,厦门港务,sz000905
000906,浙商中拓,sz000906
000908,石药景峰,sz000908
000909,*ST数源,sz000909
000910,大亚圣象,sz000910
000911,*ST广糖,sz000911
000912,泸天化,sz000912
000913,钱江摩托,sz000913
000915,华特达因,sz000915
000917,电广传媒,sz000917
000919,金陵药业,sz000919
000920,沃顿科技,sz000920
000921,海信家电,sz000921
000922,佳电股份,sz000922
000923,河钢资源,sz000923
000925,众合科技,sz000925
000926,福星股份,sz000926
000927,中国铁物,sz000927
000928,中钢国际,sz000928
000929,兰州黄河,sz000929
000930,中粮科技,sz000930
000931,中 关 村,sz000931
000932,华菱钢铁,sz000932
000933,神火股份,sz000933
000935,四川双马,sz000935
000936,华西股份,sz000936
000937,冀中能源,sz000937
000938,紫光股份,sz000938
000948,南天信息,sz000948
000949,新乡化纤,sz000949
000950,重药控股,sz000950
000951,中国重汽,sz000951
000952,广济药业,sz000952
000953,中哲精化,sz000953
