date,industry,wind_code,pe_ttm,pb_lf,amount_100mn
2016-01-10,交通运输,CI005024.WI,22.9014,2.2366,969.0069
2016-01-17,交通运输,CI005024.WI,20.503,1.9959,913.4225
2016-01-24,交通运输,CI005024.WI,20.9945,2.0438,825.3682
2016-01-31,交通运输,CI005024.WI,19.2285,1.8728,625.8672
2016-02-07,交通运输,CI005024.WI,19.8994,1.921,543.8637
2016-02-21,交通运输,CI005024.WI,20.6837,1.9967,712.9046
2016-02-28,交通运输,CI005024.WI,19.5231,1.8853,980.7873
2016-03-06,交通运输,CI005024.WI,19.7156,1.9019,831.9028
2016-03-13,交通运输,CI005024.WI,19.2351,1.8555,655.4269
2016-03-20,交通运输,CI005024.WI,20.336,1.9684,755.2124
2016-03-27,交通运输,CI005024.WI,20.542,1.9751,919.5414
2016-04-03,交通运输,CI005024.WI,23.1096,2.0289,927.3143
2016-04-10,交通运输,CI005024.WI,22.8627,2.0054,804.5891
2016-04-17,交通运输,CI005024.WI,23.5721,2.0586,886.2315
2016-04-24,交通运输,CI005024.WI,22.2319,1.938,693.2192
2016-05-01,交通运输,CI005024.WI,23.5363,1.8853,438.9989
2016-05-08,交通运输,CI005024.WI,23.9865,1.9213,654.2649
2016-05-15,交通运输,CI005024.WI,23.6084,1.8844,606.6456
2016-05-22,交通运输,CI005024.WI,23.273,1.8685,441.5976
2016-05-29,交通运输,CI005024.WI,22.9803,1.8473,423.7204
2016-06-05,交通运输,CI005024.WI,23.8332,1.9181,560.5597
2016-06-12,交通运输,CI005024.WI,23.7298,1.913,312.0427
2016-06-19,交通运输,CI005024.WI,23.0994,1.8649,564.5099
2016-06-26,交通运输,CI005024.WI,22.688,1.8283,582.2825
2016-07-03,交通运输,CI005024.WI,23.2043,1.8728,657.4581
2016-07-10,交通运输,CI005024.WI,24.012,1.9266,843.5736
2016-07-17,交通运输,CI005024.WI,24.7805,1.9865,896.7868
2016-07-24,交通运输,CI005024.WI,24.3469,1.9591,629.2225
2016-07-31,交通运输,CI005024.WI,24.4817,1.9716,763.6149
2016-08-07,交通运输,CI005024.WI,24.2875,1.9599,650.1416
2016-08-14,交通运输,CI005024.WI,24.2882,1.9681,600.3598
2016-08-21,交通运输,CI005024.WI,24.7598,2.01,880.8836
2016-08-28,交通运输,CI005024.WI,27.273,1.9619,540.0902
2016-09-04,交通运输,CI005024.WI,27.895,1.9311,473.3575
2016-09-11,交通运输,CI005024.WI,28.2391,1.9195,465.6592
2016-09-18,交通运输,CI005024.WI,27.5412,1.8721,283.5618
2016-09-25,交通运输,CI005024.WI,27.8815,1.8952,452.7958
2016-10-02,交通运输,CI005024.WI,27.3845,1.8614,397.2366
2016-10-16,交通运输,CI005024.WI,29.3778,1.9601,626.4852
2016-10-23,交通运输,CI005024.WI,29.8239,1.9906,713.0252
2016-10-30,交通运输,CI005024.WI,26.8727,1.9432,654.9452
2016-11-06,交通运输,CI005024.WI,27.0951,1.9616,667.8414
2016-11-13,交通运输,CI005024.WI,27.6508,2.0018,743.4419
2016-11-20,交通运输,CI005024.WI,28.1079,2.0349,1100.3693
2016-11-27,交通运输,CI005024.WI,28.203,2.0418,786.4871
2016-12-04,交通运输,CI005024.WI,28.1394,2.0372,909.4104
2016-12-11,交通运输,CI005024.WI,27.4667,1.99,549.7239
2016-12-18,交通运输,CI005024.WI,26.2619,1.9027,554.27
2016-12-25,交通运输,CI005024.WI,26.7231,1.9318,679.1329
2017-01-01,交通运输,CI005024.WI,27.0036,1.9142,508.0047
2017-01-08,交通运输,CI005024.WI,27.7435,1.9673,543.0225
2017-01-15,交通运输,CI005024.WI,26.656,1.9111,701.4088
2017-01-22,交通运输,CI005024.WI,26.5591,1.907,538.2051
2017-01-29,交通运输,CI005024.WI,26.7936,1.9266,325.3136
2017-02-05,交通运输,CI005024.WI,26.6567,1.9168,61.0427
2017-02-12,交通运输,CI005024.WI,27.4003,1.9709,594.624
2017-02-19,交通运输,CI005024.WI,27.5423,1.9819,869.6917
2017-02-26,交通运输,CI005024.WI,27.845,2.0356,871.9889
2017-03-05,交通运输,CI005024.WI,28.6193,2.1865,785.6635
2017-03-12,交通运输,CI005024.WI,28.7352,2.2126,603.7443
2017-03-19,交通运输,CI005024.WI,29.0062,2.2489,610.8087
2017-03-26,交通运输,CI005024.WI,29.5601,2.2927,772.5851
2017-04-02,交通运输,CI005024.WI,29.6344,2.2668,1418.1902
2017-04-09,交通运输,CI005024.WI,30.4839,2.3311,767.7504
2017-04-16,交通运输,CI005024.WI,30.5357,2.3409,1464.0081
2017-04-23,交通运输,CI005024.WI,29.5888,2.2742,1098.5798
2017-04-30,交通运输,CI005024.WI,26.0051,2.1619,878.3014
2017-05-07,交通运输,CI005024.WI,25.7814,2.1432,688.2975
2017-05-14,交通运输,CI005024.WI,25.5829,2.1267,694.8784
2017-05-21,交通运输,CI005024.WI,25.8401,2.1481,739.3152
2017-05-28,交通运输,CI005024.WI,25.8763,2.1516,600.5265
2017-06-04,交通运输,CI005024.WI,25.7381,2.1403,351.0732
2017-06-11,交通运输,CI005024.WI,26.2247,2.1821,707.3053
2017-06-18,交通运输,CI005024.WI,25.9869,2.166,726.6409
2017-06-25,交通运输,CI005024.WI,25.9739,2.1668,707.8194
2017-07-02,交通运输,CI005024.WI,26.2691,2.201,578.3517
2017-07-09,交通运输,CI005024.WI,26.4146,2.2203,588.9154
2017-07-16,交通运输,CI005024.WI,26.2734,2.2186,638.5182
2017-07-23,交通运输,CI005024.WI,26.1399,2.2159,771.4161
2017-07-30,交通运输,CI005024.WI,26.2879,2.2325,846.7193
2017-08-06,交通运输,CI005024.WI,26.3137,2.2401,864.5445
2017-08-13,交通运输,CI005024.WI,26.2208,2.2203,782.6558
2017-08-20,交通运输,CI005024.WI,27.1002,2.2936,639.4185
2017-08-27,交通运输,CI005024.WI,25.8597,2.2442,625.0994
2017-09-03,交通运输,CI005024.WI,23.8606,2.2315,820.2024
2017-09-10,交通运输,CI005024.WI,23.9271,2.2377,709.0782
2017-09-17,交通运输,CI005024.WI,23.7449,2.2206,632.812
2017-09-24,交通运输,CI005024.WI,23.563,2.2036,558.355
2017-10-01,交通运输,CI005024.WI,23.5071,2.1974,381.6021
2017-10-15,交通运输,CI005024.WI,24.0438,2.2488,562.5233
2017-10-22,交通运输,CI005024.WI,24.9665,2.3264,700.4627
2017-10-29,交通运输,CI005024.WI,23.4559,2.266,945.5098
2017-11-05,交通运输,CI005024.WI,22.1112,2.2294,888.3858
2017-11-12,交通运输,CI005024.WI,22.0838,2.2267,701.1883
2017-11-19,交通运输,CI005024.WI,21.5392,2.1717,780.652
2017-11-26,交通运输,CI005024.WI,21.3026,2.1478,632.3361
2017-12-03,交通运输,CI005024.WI,21.218,2.1393,463.2746
2017-12-10,交通运输,CI005024.WI,21.0293,2.1203,474.2279
2017-12-17,交通运输,CI005024.WI,21.0355,2.1209,426.9624
2017-12-24,交通运输,CI005024.WI,21.1914,2.1366,414.317
2017-12-31,交通运输,CI005024.WI,21.2834,2.1491,456.656
2018-01-14,交通运输,CI005024.WI,20.8376,2.1558,642.0305
2018-01-21,交通运输,CI005024.WI,20.6623,2.1385,689.78
2018-01-28,交通运输,CI005024.WI,21.591,2.2203,859.788
2018-02-04,交通运输,CI005024.WI,20.9254,2.1499,758.4124
2018-02-11,交通运输,CI005024.WI,19.241,1.978,748.8781
2018-02-18,交通运输,CI005024.WI,19.775,2.0131,245.4729
2018-02-25,交通运输,CI005024.WI,20.4893,2.0891,206.4424
2018-03-04,交通运输,CI005024.WI,21.6551,2.1044,560.1017
2018-03-11,交通运输,CI005024.WI,22.2996,2.1746,564.4167
2018-03-18,交通运输,CI005024.WI,21.9067,2.1319,582.1008
2018-03-25,交通运输,CI005024.WI,20.6815,2.029,541.9894
2018-04-01,交通运输,CI005024.WI,20.8542,2.0545,568.1659
2018-04-08,交通运输,CI005024.WI,20.6042,2.0295,324.7866
2018-04-15,交通运输,CI005024.WI,20.6453,2.0342,637.2635
2018-04-22,交通运输,CI005024.WI,19.7882,1.9536,616.4661
2018-04-29,交通运输,CI005024.WI,19.5301,1.9436,469.3904
2018-05-06,交通运输,CI005024.WI,19.6748,1.9583,258.2115
2018-05-13,交通运输,CI005024.WI,19.9037,1.9811,475.3557
2018-05-20,交通运输,CI005024.WI,19.8095,1.9725,439.0383
2018-05-27,交通运输,CI005024.WI,19.8894,1.9821,617.3561
2018-06-03,交通运输,CI005024.WI,19.5707,1.9502,529.3628
2018-06-10,交通运输,CI005024.WI,19.6404,1.9793,559.2548
2018-06-17,交通运输,CI005024.WI,19.2752,1.9475,478.9251
2018-06-24,交通运输,CI005024.WI,18.1206,1.8331,423.6639
2018-07-01,交通运输,CI005024.WI,17.4924,1.7804,477.3657
2018-07-08,交通运输,CI005024.WI,16.7613,1.7093,412.5327
2018-07-15,交通运输,CI005024.WI,17.2004,1.7615,365.139
2018-07-22,交通运输,CI005024.WI,16.8958,1.7271,329.4316
2018-07-29,交通运输,CI005024.WI,17.1765,1.7573,475.2232
2018-08-05,交通运输,CI005024.WI,16.3861,1.6778,419.0553
2018-08-12,交通运输,CI005024.WI,16.6722,1.712,384.5009
2018-08-19,交通运输,CI005024.WI,15.7951,1.622,395.6371
2018-08-26,交通运输,CI005024.WI,16.0001,1.6412,306.4226
2018-09-02,交通运输,CI005024.WI,16.712,1.6063,364.2523
2018-09-09,交通运输,CI005024.WI,16.3433,1.5709,302.5959
2018-09-16,交通运输,CI005024.WI,16.2254,1.5595,253.7975
2018-09-23,交通运输,CI005024.WI,17.0545,1.6393,390.7684
2018-09-30,交通运输,CI005024.WI,17.1741,1.6383,366.5964
2018-10-14,交通运输,CI005024.WI,15.6506,1.4929,471.4039
2018-10-21,交通运输,CI005024.WI,15.3377,1.464,348.8076
2018-10-28,交通运输,CI005024.WI,15.9682,1.4814,405.672
2018-11-04,交通运输,CI005024.WI,17.6471,1.516,447.4315
2018-11-11,交通运输,CI005024.WI,17.0754,1.4669,421.2874
2018-11-18,交通运输,CI005024.WI,17.9182,1.5393,536.2316
2018-11-25,交通运输,CI005024.WI,17.2476,1.4817,526.7647
2018-12-02,交通运输,CI005024.WI,17.1624,1.4743,349.2
2018-12-09,交通运输,CI005024.WI,17.3104,1.4969,381.8402
2018-12-16,交通运输,CI005024.WI,17.0329,1.4729,256.1828
2018-12-23,交通运输,CI005024.WI,16.6288,1.437,280.3078
2018-12-30,交通运输,CI005024.WI,16.6943,1.4066,255.6123
2019-01-06,交通运输,CI005024.WI,16.7847,1.4142,140.0836
2019-01-13,交通运输,CI005024.WI,17.247,1.4535,322.448
2019-01-20,交通运输,CI005024.WI,17.5635,1.4527,301.3549
2019-01-27,交通运输,CI005024.WI,17.4686,1.4414,297.2211
2019-02-03,交通运输,CI005024.WI,17.5181,1.4453,281.0262
2019-02-17,交通运输,CI005024.WI,18.1052,1.4937,396.6215
2019-02-24,交通运输,CI005024.WI,19.0507,1.572,613.2921
2019-03-03,交通运输,CI005024.WI,20.3878,1.6446,889.2974
2019-03-10,交通运输,CI005024.WI,20.1163,1.6216,1036.4708
2019-03-17,交通运输,CI005024.WI,20.7486,1.7024,1016.9958
2019-03-24,交通运输,CI005024.WI,21.0551,1.7491,1009.4701
2019-03-31,交通运输,CI005024.WI,20.8262,1.767,1036.8064
2019-04-07,交通运输,CI005024.WI,22.5449,1.9141,1252.6175
2019-04-14,交通运输,CI005024.WI,21.5329,1.8386,1361.1136
2019-04-21,交通运输,CI005024.WI,21.7636,1.8657,1088.6254
2019-04-28,交通运输,CI005024.WI,20.5151,1.7297,891.9792
2019-05-05,交通运输,CI005024.WI,21.351,1.7285,323.0633
2019-05-12,交通运输,CI005024.WI,20.0568,1.6237,689.5605
2019-05-19,交通运输,CI005024.WI,19.7423,1.5972,694.3961
2019-05-26,交通运输,CI005024.WI,19.4273,1.5733,506.0004
2019-06-02,交通运输,CI005024.WI,19.7922,1.6053,506.9416
2019-06-09,交通运输,CI005024.WI,18.9614,1.538,433.9607
2019-06-16,交通运输,CI005024.WI,19.1975,1.5606,416.831
2019-06-23,交通运输,CI005024.WI,20.225,1.6447,454.3427
2019-06-30,交通运输,CI005024.WI,20.1983,1.6591,414.5948
2019-07-07,交通运输,CI005024.WI,20.4605,1.6815,528.9943
2019-07-14,交通运输,CI005024.WI,19.7747,1.6312,344.4057
2019-07-21,交通运输,CI005024.WI,19.9038,1.6433,324.182
2019-07-28,交通运输,CI005024.WI,20.3654,1.6832,382.5487
2019-08-04,交通运输,CI005024.WI,19.551,1.6226,372.7704
2019-08-11,交通运输,CI005024.WI,18.3628,1.5237,400.3769
2019-08-18,交通运输,CI005024.WI,18.6184,1.5467,344.6422
2019-08-25,交通运输,CI005024.WI,19.1256,1.6048,489.0763
2019-09-01,交通运输,CI005024.WI,18.7112,1.5773,457.1459
2019-09-08,交通运输,CI005024.WI,19.4022,1.6194,525.7062
2019-09-15,交通运输,CI005024.WI,19.4409,1.6225,386.2664
2019-09-22,交通运输,CI005024.WI,19.3487,1.6148,467.6717
2019-09-29,交通运输,CI005024.WI,18.764,1.5661,382.2163
2019-10-06,交通运输,CI005024.WI,18.6568,1.5572,54.0634
2019-10-13,交通运输,CI005024.WI,19.2999,1.6078,337.0553
2019-10-20,交通运输,CI005024.WI,19.0135,1.5838,576.8858
2019-10-27,交通运输,CI005024.WI,18.7089,1.5647,394.517
2019-11-03,交通运输,CI005024.WI,18.6279,1.5231,518.8878
2019-11-10,交通运输,CI005024.WI,18.6931,1.5261,473.1034
2019-11-17,交通运输,CI005024.WI,18.0194,1.4711,322.1244
2019-11-24,交通运输,CI005024.WI,18.0587,1.4741,295.2683
2019-12-01,交通运输,CI005024.WI,16.743,1.4732,299.3644
2019-12-08,交通运输,CI005024.WI,18.2903,1.4987,267.3713
2019-12-15,交通运输,CI005024.WI,18.4927,1.5134,382.8231
2019-12-22,交通运输,CI005024.WI,18.8818,1.5452,515.8877
2019-12-29,交通运输,CI005024.WI,18.8182,1.54,390.6421
2020-01-05,交通运输,CI005024.WI,19.1804,1.5696,200.5181
2020-01-12,交通运输,CI005024.WI,19.5767,1.5577,591.9461
2020-01-19,交通运输,CI005024.WI,19.2172,1.5274,477.0346
2020-01-26,交通运输,CI005024.WI,18.4789,1.4647,506.85
2020-02-09,交通运输,CI005024.WI,17.6736,1.4021,704.9169
2020-02-16,交通运输,CI005024.WI,17.6756,1.4022,493.5522
2020-02-23,交通运输,CI005024.WI,18.4943,1.4652,718.2746
2020-03-01,交通运输,CI005024.WI,16.7417,1.3739,772.9828
2020-03-08,交通运输,CI005024.WI,17.556,1.4408,728.4282
2020-03-15,交通运输,CI005024.WI,17.0452,1.3988,971.4932
2020-03-22,交通运输,CI005024.WI,16.3547,1.3228,688.174
2020-03-29,交通运输,CI005024.WI,16.478,1.3254,517.7711
