price,amount,code,name,market_cap,float_cap,market_cap_100mn
4.701,4844479626.0,510300,沪深300ETF华泰柏瑞,112950398984,112950398984,1129.50398984
100.654,18614215432.0,511880,银华日利ETF,93127527095,93127527095,931.27527095
8.385,3099445119.0,518880,黄金ETF华安,90394835681,90394835681,903.94835681
1.885,8981897884.0,588000,科创50ETF华夏,86984584361,86984584361,869.84584361
100.006,10556860154.0,511990,华宝添益ETF,83028842232,83028842232,830.28842232
1.099,2457657971.0,512880,证券ETF国泰,62233393240,62233393240,622.3339324
3.508,6442931154.74,159915,创业板ETF易方达,58301048056,58301048056,583.01048056
1.258,5213813207.0,588200,科创芯片ETF嘉实,54275383875,54275383875,542.75383875
4.562,966571930.0,510310,沪深300ETF易方达,51025715112,51025715112,510.25715112
7.545,2593796767.0,510500,中证500ETF南方,43261284872,43261284872,432.61284872
0.646,2954379079.0,515880,通信ETF国泰,43102266056,43102266056,431.02266056
1.826,1899286693.0,588080,科创50ETF易方达,41701509020,41701509020,417.0150902
4.898,575388714.0,510330,沪深300ETF华夏,41477976811,41477976811,414.77976811
0.585,2712786868.0,513180,恒生科技ETF华夏,40849239675,40849239675,408.49239675
0.574,2061379861.517,159792,港股通互联网ETF富国,40143179948,40143179948,401.43179948
0.742,5145202782.428,159516,半导体设备ETF国泰,40085333120,40085333120,400.8533312
0.526,1163002453.0,512000,券商ETF华宝,39730586747,39730586747,397.30586747
8.365,415065486.3,159937,黄金ETF博时,39458725932,39458725932,394.58725932
1.063,2077579555.0,513050,中概互联网ETF易方达,36267894032,36267894032,362.67894032
1.569,828229359.416,159941,纳指ETF广发,35311773217,35311773217,353.11773217
1.283,4621588130.0,563360,A500ETF华泰柏瑞,35178560988,35178560988,351.78560988
1.162,703514965.0,512890,红利低波ETF华泰柏瑞,34742766880,34742766880,347.4276688
0.575,2388281852.0,513130,恒生科技ETF华泰柏瑞,34300099603,34300099603,343.00099603
8.76,445375667.304,159934,黄金ETF易方达,33456270770,33456270770,334.5627077
1.013,8342220433.0,588170,科创半导体ETF华夏,33189371852,33189371852,331.89371852
8.786,417193933.0,518800,黄金ETF国泰,31527499651,31527499651,315.27499651
