indicator_key,indicator,date,value,source
cpi,CPI,2025-12-01,0.8,AkShare macro_china_cpi; local cached series
cpi,CPI,2026-01-01,0.2,AkShare macro_china_cpi; local cached series
cpi,CPI,2026-02-01,1.3,AkShare macro_china_cpi; local cached series
cpi,CPI,2026-03-01,1.0,AkShare macro_china_cpi; local cached series
cpi,CPI,2026-04-01,1.2,AkShare macro_china_cpi; local cached series
cpi,CPI,2026-05-01,1.2,AkShare macro_china_cpi; local cached series
export,出口,2025-12-01,6.6,AkShare macro_china_hgjck; local cached series
export,出口,2026-01-01,10.0,AkShare macro_china_hgjck; local cached series
export,出口,2026-02-01,39.6,AkShare macro_china_hgjck; local cached series
export,出口,2026-03-01,2.5,AkShare macro_china_hgjck; local cached series
export,出口,2026-04-01,14.0,AkShare macro_china_hgjck; local cached series
export,出口,2026-05-01,19.4,AkShare macro_china_hgjck; local cached series
fai,固投,2025-10-01,-15.52,AkShare macro_china_gdzctz; local cached series
fai,固投,2025-11-01,-17.59,AkShare macro_china_gdzctz; local cached series
fai,固投,2025-12-01,-15.21,AkShare macro_china_gdzctz; local cached series
fai,固投,2026-03-01,-1.12,AkShare macro_china_gdzctz; local cached series
fai,固投,2026-04-01,-12.01,AkShare macro_china_gdzctz; local cached series
fai,固投,2026-05-01,-17.15,AkShare macro_china_gdzctz; local cached series
fai_infra,固投/基建,2025-02-01,9.95,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-03-01,12.59,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-04-01,9.57,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-05-01,9.26,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-06-01,5.32,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-07-01,-1.95,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-08-01,-6.42,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-09-01,-7.99,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-10-01,-12.11,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-11-01,-11.91,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2025-12-01,-15.95,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-02-01,9.76,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-03-01,8.88,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-04-01,-3.73,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-05-01,-10.78,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_infra,固投/基建,2026-06-01,-10.17,Wind 中国:固定资产投资完成额:基础设施建设(Wind衍生计算):累计值累计值倒算当月同比 via Wind API
fai_manufacturing,固投/制造业,2024-02-01,9.4,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-03-01,9.9,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-04-01,9.7,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-05-01,9.6,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-06-01,9.5,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-07-01,9.3,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-08-01,9.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-09-01,9.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-10-01,9.3,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-11-01,9.3,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2024-12-01,9.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-02-01,9.0,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-03-01,9.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-04-01,8.8,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-05-01,8.5,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-06-01,7.5,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-07-01,6.2,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-08-01,5.1,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-09-01,4.0,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
fai_manufacturing,固投/制造业,2025-10-01,2.7,国家统计局 中国:固定资产投资完成额:制造业:累计同比 via Wind API
