indicator_key,indicator,date,value,stock,source
enterprise_long_loan,企业中长期贷款,2024-01-01,,1024877.25,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-02-01,,1037805.33,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-03-01,,1053780.77,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-04-01,,1057862.42,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-05-01,,1062874.68,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-06-01,,1072532.33,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-07-01,,1073882.81,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-08-01,,1078750.45,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-09-01,,1088384.69,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
enterprise_long_loan,企业中长期贷款,2024-10-01,,1090088.95,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
